Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","Blank",Ch1Unknown,"FAM","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.34,0,0,10267,,,,,,10267,,,,,,,,,,,,,,,,,,1,1,3772,0,2912,2912,"",,,,0.16,0,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","10K_RT",Ch1Unknown,"FAM","Manual",2.1,One-Step RT-ddPCR Kit for Probes,42,,,3.1,1.3,20,11452,,,,,,11472,,,,,,,,,,,,,,,,,,1,1,3761,4983.9,3006.3,3009.7,"",,,,2.55,1.63,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","1K_noRT",Ch1Unknown,"FAM","Manual",0.1,One-Step RT-ddPCR Kit for Probes,2,,,0.48,0,1,11683,,,,,,11684,,,,,,,,,,,,,,,,,,1,1,3772,4787.5,2796.2,2796.3,"",,,,0.25,0.03,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","Blank",Ch1Unknown,"FAM","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.39,0,0,9106,,,,,,9106,,,,,,,,,,,,,,,,,,1,1,3772,0,2908.9,2908.9,"",,,,0.18,0,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","100K_RT",Ch1Unknown,"FAM","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.34,0,0,10394,,,,,,10394,,,,,,,,,,,,,,,,,,1,1,3772,0,2978.6,2978.6,"",,,,0.15,0,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","1K_noRT",Ch1Unknown,"FAM","Manual",0.12,One-Step RT-ddPCR Kit for Probes,2.4,,,0.58,0.01,1,9755,,,,,,9756,,,,,,,,,,,,,,,,,,1,1,3794,4191.6,2769.6,2769.7,"",,,,0.3,0.03,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","Blank",Ch1Unknown,"FAM","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.37,0,0,9413,,,,,,9413,,,,,,,,,,,,,,,,,,1,1,3761,0,2907,2907,"",,,,0.17,0,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","100K_RT",Ch1Unknown,"FAM","Manual",0.11,One-Step RT-ddPCR Kit for Probes,2.2,,,0.51,0,1,11050,,,,,,11051,,,,,,,,,,,,,,,,,,1,1,3749,3903,2969.2,2969.3,"",,,,0.27,0.03,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","10K_noRT",Ch1Unknown,"FAM","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.32,0,0,11001,,,,,,11001,,,,,,,,,,,,,,,,,,1,1,3727,0,2768.6,2768.6,"",,,,0.15,0,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","1K_RT",Ch1Unknown,"FAM","Manual",12.6,One-Step RT-ddPCR Kit for Probes,252,,,15,10.2,108,10042,,,,,,10150,,,,,,,,,,,,,,,,,,1,1,3761,4977.1,2994.5,3015.6,"",,,,13.8,11.4,,,,,,,,,,,,,
