Ch1 Amplitude,Ch2 Amplitude,Cluster
319.78476,,1
4826.761,,1
5209.49463,,1
5452.826,,1
6357.64258,,1
6574.192,,1
6714.69238,,1
6735.432,,1
6801.733,,1
6804.43848,,1
6845.96045,,1
6878.354,,1
6885.88574,,1
6886.609,,1
6899.29639,,1
6907.073,,1
6935.00635,,1
6964.262,,1
6990.727,,1
7033.67725,,1
7058.489,,1
7090.86865,,1
7093.71875,,1
7102.96875,,1
7115.489,,1
7126.556,,1
7138.51074,,1
7144.667,,1
7160.12061,,1
7162.318,,1
7186.839,,1
7190.366,,1
7194.267,,1
7195.6626,,1
7199.38037,,1
7205.02441,,1
7211.66748,,1
7212.011,,1
7215.435,,1
7218.708,,1
7231.90137,,1
7234.03369,,1
7238.3374,,1
7251.489,,1
7254.6123,,1
7257.082,,1
7257.567,,1
7262.04541,,1
7263.22559,,1
7266.733,,1
7275.00244,,1
7276.913,,1
7277.84131,,1
7279.522,,1
7280.97,,1
7282.223,,1
7286.44775,,1
7289.52441,,1
7289.82568,,1
7295.4624,,1
7299.40869,,1
7299.81641,,1
7305.3667,,1
7305.60059,,1
7306.225,,1
7309.462,,1
7313.57959,,1
7313.80762,,1
7316.384,,1
7329.091,,1
7334.35449,,1
7336.889,,1
7342.82861,,1
7346.707,,1
7347.86,,1
7360.765,,1
7362.046,,1
7364.492,,1
7365.51855,,1
7372.19,,1
7374.23535,,1
7375.682,,1
7376.43457,,1
7380.42627,,1
7381.088,,1
7381.46436,,1
7382.142,,1
7382.318,,1
7391.439,,1
7391.449,,1
7392.10938,,1
7392.94727,,1
7398.60156,,1
7399.89063,,1
7410.129,,1
7413.83057,,1
7416.70654,,1
7419.67969,,1
7420.833,,1
7422.31445,,1
7423.58936,,1
7426.665,,1
7433.06641,,1
7434.45947,,1
7434.79053,,1
7436.80957,,1
7443.708,,1
7443.901,,1
7445.345,,1
7445.45752,,1
7447.14355,,1
7447.21533,,1
7447.57129,,1
7447.59326,,1
7448.265,,1
7448.365,,1
7449.36572,,1
7453.2627,,1
7453.319,,1
7454.426,,1
7455.26465,,1
7457.56348,,1
7458.787,,1
7460.016,,1
7460.27,,1
7460.645,,1
7462.474,,1
7462.502,,1
7462.671,,1
7467.137,,1
7470.01074,,1
7471.2,,1
7472.213,,1
7472.548,,1
7472.938,,1
7472.94141,,1
7473.12842,,1
7476.023,,1
7476.44434,,1
7476.97461,,1
7477.55762,,1
7478.78857,,1
7486.311,,1
7488.05469,,1
7490.11426,,1
7491.32031,,1
7495.357,,1
7496.68066,,1
7506.988,,1
7509.65869,,1
7510.9165,,1
7511.04541,,1
7511.136,,1
7512.386,,1
7513.939,,1
7513.959,,1
7516.04736,,1
7516.291,,1
7517.148,,1
7517.90674,,1
7519.515,,1
7524.59473,,1
7525.937,,1
7527.09,,1
7527.566,,1
7529.53467,,1
7530.14355,,1
7530.29541,,1
7532.50537,,1
7535.479,,1
7536.675,,1
7538.57373,,1
7539.10645,,1
7543.256,,1
7543.594,,1
7543.71338,,1
7544.67041,,1
7546.03027,,1
7546.44336,,1
7546.46436,,1
7547.22949,,1
7547.638,,1
7548.489,,1
7548.66846,,1
7548.719,,1
7549.5625,,1
7554.3623,,1
7555.88232,,1
7556.11865,,1
7556.4375,,1
7556.59863,,1
7556.88672,,1
7557.053,,1
7559.924,,1
7559.94727,,1
7561.1665,,1
7563.75342,,1
7564.119,,1
7565.514,,1
7565.541,,1
7566.2666,,1
7566.49561,,1
7569.51758,,1
7572.6626,,1
7573.09766,,1
7573.513,,1
7574.36963,,1
7575.20654,,1
7576.69141,,1
7577.56738,,1
7581.68,,1
7585.36328,,1
7587.40527,,1
7588.83,,1
7589.294,,1
7589.547,,1
7592.81836,,1
7594.724,,1
7594.96143,,1
7597.01758,,1
7598.23535,,1
7598.686,,1
7600.303,,1
7600.33447,,1
7600.741,,1
7601.166,,1
7601.647,,1
7603.5,,1
7604.461,,1
7609.572,,1
7610.34375,,1
7611.551,,1
7612.418,,1
7613.1084,,1
7614.129,,1
7616.584,,1
7617.279,,1
7617.281,,1
7618.91455,,1
7620.80957,,1
7621.5957,,1
7624.36572,,1
7624.44873,,1
7625.837,,1
7626.076,,1
7628.92627,,1
7629.34863,,1
7629.424,,1
7632.45459,,1
7632.72168,,1
7633.789,,1
7636.22559,,1
7636.405,,1
7638.841,,1
7639.37256,,1
7639.7793,,1
7640.3125,,1
7642.068,,1
7642.73242,,1
7642.88428,,1
7643.73,,1
7644.26367,,1
7646.35449,,1
7647.2583,,1
7648.2915,,1
7648.89941,,1
7651.35059,,1
7652.79346,,1
7653.61865,,1
7653.717,,1
7655.236,,1
7655.852,,1
7657.48145,,1
7657.51172,,1
7657.71875,,1
7658.624,,1
7659.89355,,1
7660.49854,,1
7660.947,,1
7661.473,,1
7665.02,,1
7665.336,,1
7666.42529,,1
7666.919,,1
7671.03467,,1
7671.15869,,1
7673.05371,,1
7673.20068,,1
7673.53662,,1
7673.53857,,1
7673.552,,1
7674.597,,1
7676.115,,1
7677.127,,1
7678.70166,,1
7679.387,,1
7680.04639,,1
