Ch1 Amplitude,Ch2 Amplitude,Cluster
289.64566,,1
289.850433,,1
303.9984,,1
306.579956,,1
306.891,,1
307.92572,,1
311.2552,,1
311.90033,,1
329.7891,,1
340.4464,,1
383.1415,,1
415.534119,,1
415.685059,,1
420.216339,,1
421.2391,,1
424.749847,,1
491.779968,,1
492.7723,,1
508.680817,,1
536.362732,,1
552.349243,,1
561.712036,,1
569.984131,,1
598.641052,,1
605.359131,,1
704.705933,,1
705.599365,,1
737.707642,,1
750.3373,,1
782.6465,,1
790.727844,,1
813.047363,,1
872.662659,,1
905.364,,1
949.753845,,1
994.332336,,1
1035.71948,,1
1086.32886,,1
1118.55591,,1
1169.1604,,1
1223.90857,,1
1227.74536,,1
1347.33459,,1
1360.54858,,1
1360.83362,,1
1547.64111,,1
1549.04321,,1
1599.97327,,1
1612.83923,,1
1617.53369,,1
1664.44617,,1
1824.05444,,1
1888.95728,,1
1920.13269,,1
1984.39624,,1
2031.8667,,1
2052.09741,,1
2053.3125,,1
2097.41064,,1
2168.38818,,1
2217.52466,,1
2231.10474,,1
2318.21118,,1
2378.08179,,1
2681.42432,,1
2702.46167,,1
2752.73584,,1
2772.97778,,1
2841.70947,,1
2872.00879,,1
2882.452,,1
2916.70874,,1
3054.00854,,1
3054.859,,1
3060.81641,,1
3111.12769,,1
3139.39575,,1
3151.86719,,1
3162.07715,,1
3167.427,,1
3170.78564,,1
3187.698,,1
3191.33521,,1
3195.80566,,1
3236.09961,,1
3306.121,,1
3333.59961,,1
3359.18,,1
3401.58057,,1
3410.84521,,1
3458.4917,,1
3467.81226,,1
3490.811,,1
3505.10962,,1
3535.51538,,1
3542.981,,1
3565.03418,,1
3585.01563,,1
3597.34937,,1
3607.67163,,1
3640.10986,,1
3671.53247,,1
3675.35132,,1
3700.2417,,1
3712.01123,,1
3717.163,,1
3795.036,,1
3824.72119,,1
3843.96118,,1
3848.59326,,1
3888.2,,1
3924.02954,,1
3933.762,,1
3959.32959,,1
3960.09668,,1
3963.342,,1
3988.27441,,1
4004.48584,,1
4023.99854,,1
4026.91138,,1
4048.93628,,1
4055.216,,1
4056.20923,,1
4088.69971,,1
4096.16162,,1
4097.358,,1
4102.40527,,1
4112.159,,1
4120.53125,,1
4122.364,,1
4125.3,,1
4127.38867,,1
4133.115,,1
4141.19873,,1
4153.825,,1
4168.241,,1
4179.225,,1
4206.34961,,1
4211.39453,,1
4216.68262,,1
4220.57764,,1
4227.33643,,1
4249.871,,1
4258.825,,1
4271.687,,1
4283.858,,1
4298.968,,1
4311.154,,1
4315.96729,,1
4316.182,,1
4322.23,,1
4326.13867,,1
4327.656,,1
4328.5,,1
4331.123,,1
4335.449,,1
4335.77148,,1
4373.7417,,1
4383.54639,,1
4396.00732,,1
4410.3916,,1
4413.909,,1
4422.504,,1
4428.307,,1
4429.3833,,1
4430.037,,1
4493.504,,1
4505.17041,,1
4509.058,,1
4528.4834,,1
4540.95557,,1
4549.99658,,1
4551.47461,,1
4563.39355,,1
4565.18066,,1
4578.86328,,1
4588.16455,,1
4598.85156,,1
4613.81445,,1
4614.92969,,1
4628.77246,,1
4632.345,,1
4640.96631,,1
4649.155,,1
4652.93945,,1
4653.46,,1
4660.45459,,1
4672.41162,,1
4672.92871,,1
4679.139,,1
4689.56934,,1
4690.42969,,1
4697.60254,,1
4700.031,,1
4709.47656,,1
4717.601,,1
4721.576,,1
4729.12354,,1
4729.32764,,1
4734.73828,,1
4746.25439,,1
4748.02,,1
4763.17236,,1
4766.006,,1
4772.16357,,1
4779.41455,,1
4800.517,,1
4805.16748,,1
4805.515,,1
4822.53174,,1
4827.501,,1
4834.775,,1
4847.11572,,1
4857.41064,,1
4859.527,,1
4870.29053,,1
4871.62451,,1
4876.504,,1
4877.785,,1
4897.11328,,1
4906.30029,,1
4911.563,,1
4912.96533,,1
4920.809,,1
4945.19971,,1
4948.98145,,1
4949.1377,,1
4949.35645,,1
4962.12256,,1
4968.245,,1
4969.89355,,1
4996.63965,,1
5001.43,,1
5021.75244,,1
5068.444,,1
5083.422,,1
5087.84961,,1
5095.40967,,1
5110.39648,,1
5111.044,,1
5116.36963,,1
5118.07129,,1
5118.187,,1
5121.09961,,1
5138.351,,1
5142.98535,,1
5143.763,,1
5147.30566,,1
5149.00342,,1
5156.96973,,1
5158.588,,1
5165.441,,1
5168.038,,1
5173.68262,,1
5182.691,,1
5183.00244,,1
5188.1167,,1
5189.05127,,1
5190.262,,1
5197.905,,1
5205.43164,,1
5207.10449,,1
5216.538,,1
5216.76758,,1
5221.69775,,1
5226.397,,1
5229.721,,1
5230.495,,1
5238.823,,1
5239.251,,1
5240.3457,,1
5244.58447,,1
5246.63232,,1
5250.40039,,1
5254.36328,,1
5254.91748,,1
5261.99365,,1
5269.1875,,1
5271.33,,1
5273.1543,,1
5274.051,,1
5281.39648,,1
5282.461,,1
5284.85059,,1
5288.037,,1
5288.299,,1
5298.25537,,1
5303.237,,1
5304.315,,1
5307.303,,1
5315.4873,,1
5320.418,,1
5321.326,,1
5324.326,,1
5331.68555,,1
5339.419,,1
5344.00244,,1
5345.658,,1
5348.94,,1
5349.71338,,1
5351.701,,1
5355.37061,,1
5359.406,,1
5362.70557,,1
5363.958,,1
5369.4834,,1
5369.58252,,1
5369.75,,1
5370.053,,1
5377.492,,1
5378.4,,1
5381.03174,,1
5381.19238,,1
5381.959,,1
5382.975,,1
5385.6333,,1
5386.981,,1
5391.65869,,1
5393.57861,,1
5394.44141,,1
5402.91064,,1
5403.425,,1
5407.29639,,1
5407.407,,1
5417.016,,1
5418.231,,1
5418.73828,,1
5418.905,,1
5425.66064,,1
5427.728,,1
5440.32861,,1
5441.539,,1
5443.36865,,1
5443.864,,1
5445.456,,1
5445.68,,1
5445.92236,,1
5447.688,,1
5453.60938,,1
5457.037,,1
5457.5083,,1
5458.953,,1
5461.88428,,1
5463.62256,,1
5464.43457,,1
5467.981,,1
5469.312,,1
5469.855,,1
5472.618,,1
5477.12549,,1
5479.588,,1
5486.768,,1
5490.652,,1
5506.18164,,1
5506.33643,,1
5506.814,,1
5509.952,,1
5512.104,,1
5512.5166,,1
5512.71631,,1
5515.892,,1
5517.215,,1
5518.09473,,1
5520.18945,,1
5521.45654,,1
5524.27539,,1
5531.807,,1
5534.01465,,1
5536.036,,1
5540.7915,,1
5541.44775,,1
5543.53467,,1
5545.965,,1
5562.11,,1
5562.8623,,1
5563.579,,1
5564.351,,1
5565.07959,,1
5567.56738,,1
5569.2876,,1
5573.52051,,1
5575.76074,,1
5580.98633,,1
5585.43457,,1
5585.76465,,1
5586.62451,,1
5587.49756,,1
5593.902,,1
5601.70947,,1
5608.77148,,1
5614.55127,,1
5619.11572,,1
5620.711,,1
5630.90527,,1
5632.212,,1
5637.80762,,1
5641.0835,,1
5641.80566,,1
5648.30371,,1
5654.008,,1
5656.01172,,1
5663.585,,1
5666.90527,,1
5667.56348,,1
5670.15137,,1
5676.36572,,1
5679.0083,,1
