Ch1 Amplitude,Ch2 Amplitude,Cluster
224.871765,,1
228.532486,,1
228.992,,1
233.7835,,1
235.411255,,1
235.5454,,1
235.600281,,1
235.90062,,1
235.91011,,1
237.198288,,1
238.113556,,1
238.164291,,1
238.222137,,1
238.966675,,1
238.986359,,1
238.999664,,1
239.380783,,1
239.9732,,1
240.026489,,1
240.474686,,1
240.687042,,1
241.549271,,1
242.167725,,1
242.423584,,1
243.005371,,1
243.0131,,1
243.0341,,1
243.342361,,1
243.408691,,1
243.42305,,1
244.2146,,1
244.333511,,1
244.404434,,1
244.505142,,1
244.761871,,1
244.82814,,1
244.8946,,1
245.110641,,1
245.22348,,1
245.367264,,1
245.373734,,1
246.122284,,1
246.160965,,1
246.3511,,1
246.5102,,1
246.9561,,1
247.0652,,1
247.253357,,1
247.3283,,1
247.370316,,1
247.459808,,1
247.6772,,1
247.736923,,1
247.756241,,1
247.817245,,1
247.878647,,1
248.205658,,1
248.296692,,1
248.6941,,1
249.104034,,1
249.305649,,1
249.415543,,1
249.522781,,1
249.695709,,1
249.696045,,1
249.804138,,1
250.027786,,1
250.316772,,1
250.759262,,1
251.02652,,1
251.318619,,1
251.398773,,1
251.44928,,1
251.5698,,1
251.654587,,1
251.671753,,1
251.810425,,1
251.875732,,1
251.990372,,1
252.004059,,1
252.048584,,1
252.114319,,1
252.139389,,1
252.1625,,1
252.2591,,1
252.3278,,1
252.345016,,1
252.8035,,1
252.939713,,1
252.9799,,1
253.039291,,1
253.193756,,1
253.222427,,1
253.282532,,1
253.3724,,1
253.861771,,1
253.863449,,1
253.932373,,1
254.058746,,1
254.143356,,1
254.188141,,1
254.189209,,1
254.2118,,1
254.312,,1
254.411942,,1
254.42189,,1
254.453033,,1
254.476364,,1
254.699814,,1
254.708557,,1
254.7403,,1
254.80098,,1
254.81958,,1
254.836,,1
254.84433,,1
254.852051,,1
255.018311,,1
255.072311,,1
255.119019,,1
255.20224,,1
255.250122,,1
255.697189,,1
255.762283,,1
255.771667,,1
255.79628,,1
255.863,,1
255.913254,,1
256.01712,,1
256.1665,,1
256.207184,,1
256.353516,,1
256.3905,,1
256.437256,,1
256.555328,,1
256.57,,1
256.588684,,1
256.659149,,1
256.74826,,1
256.934937,,1
257.1897,,1
257.2931,,1
257.2977,,1
257.30658,,1
257.326416,,1
257.5206,,1
257.521423,,1
257.613739,,1
257.667725,,1
257.682922,,1
257.712982,,1
257.7721,,1
257.880249,,1
257.88208,,1
257.904572,,1
257.9269,,1
257.9414,,1
257.941833,,1
257.970917,,1
258.173157,,1
258.188965,,1
258.192047,,1
258.246,,1
258.30957,,1
258.34494,,1
258.3565,,1
258.406738,,1
258.492737,,1
258.5489,,1
258.596069,,1
258.626282,,1
258.665039,,1
258.677155,,1
258.712769,,1
258.781433,,1
258.823578,,1
258.8604,,1
258.8986,,1
258.920471,,1
258.9491,,1
259.0123,,1
259.0427,,1
259.05658,,1
259.0774,,1
259.115082,,1
259.168762,,1
259.1863,,1
259.392151,,1
259.443237,,1
259.4557,,1
259.501129,,1
259.51358,,1
259.539825,,1
259.5441,,1
259.637054,,1
259.654755,,1
260.013275,,1
260.0993,,1
260.1497,,1
260.23877,,1
260.2437,,1
260.334625,,1
260.456879,,1
260.5356,,1
260.606018,,1
260.619873,,1
260.647247,,1
260.6803,,1
260.6837,,1
260.7999,,1
260.839478,,1
260.8559,,1
260.883179,,1
260.9096,,1
260.9103,,1
260.915924,,1
260.9415,,1
260.996155,,1
261.010468,,1
261.046234,,1
261.046356,,1
261.053833,,1
261.185638,,1
261.1877,,1
261.244232,,1
261.306244,,1
261.3392,,1
261.376282,,1
261.385742,,1
261.400635,,1
261.424652,,1
261.429138,,1
261.4922,,1
261.503174,,1
261.5126,,1
261.5222,,1
261.545135,,1
261.688,,1
261.736,,1
261.74472,,1
261.7841,,1
261.82196,,1
261.8535,,1
261.9722,,1
261.975525,,1
262.0473,,1
262.049866,,1
262.107758,,1
262.12323,,1
262.16095,,1
262.163269,,1
262.227631,,1
262.258484,,1
262.2977,,1
262.299927,,1
262.328827,,1
262.368134,,1
262.3725,,1
262.4142,,1
262.4195,,1
262.4295,,1
262.4504,,1
262.486267,,1
262.4987,,1
262.505341,,1
262.6102,,1
262.646149,,1
262.7224,,1
262.727356,,1
262.760468,,1
262.800873,,1
262.822083,,1
263.024384,,1
263.0499,,1
263.176483,,1
263.179657,,1
263.241425,,1
263.335022,,1
263.380524,,1
263.39267,,1
263.419067,,1
263.5252,,1
263.5405,,1
263.613983,,1
263.6884,,1
263.7023,,1
263.842255,,1
263.863647,,1
263.8952,,1
263.919678,,1
263.961884,,1
263.985718,,1
264.024445,,1
264.137817,,1
264.170929,,1
264.194519,,1
264.197845,,1
264.206818,,1
264.2118,,1
264.21225,,1
264.2691,,1
264.274017,,1
264.3259,,1
264.37027,,1
264.3714,,1
264.3846,,1
264.398254,,1
264.438477,,1
264.45575,,1
264.5164,,1
264.516418,,1
264.5167,,1
264.547668,,1
264.548462,,1
264.563446,,1
264.587952,,1
264.620056,,1
264.649323,,1
264.667938,,1
264.691742,,1
264.714966,,1
264.736816,,1
264.7407,,1
264.7828,,1
264.802673,,1
264.8196,,1
264.8461,,1
264.853638,,1
264.863983,,1
264.939,,1
264.946747,,1
265.116333,,1
265.1198,,1
265.149017,,1
265.212921,,1
265.387817,,1
265.399,,1
265.458527,,1
265.483368,,1
265.563629,,1
265.603333,,1
265.620728,,1
265.626526,,1
265.638672,,1
265.6622,,1
265.688354,,1
265.702454,,1
265.711151,,1
265.742584,,1
265.742767,,1
265.752533,,1
265.8094,,1
265.845154,,1
265.8584,,1
265.862274,,1
265.926666,,1
265.934784,,1
265.983429,,1
265.986816,,1
266.009735,,1
266.0368,,1
266.1327,,1
266.258179,,1
266.26474,,1
266.27832,,1
266.279175,,1
266.287018,,1
266.304352,,1
266.319336,,1
266.421356,,1
266.480133,,1
266.480927,,1
266.483734,,1
266.498749,,1
266.526337,,1
266.5477,,1
266.5843,,1
266.596283,,1
266.626282,,1
266.62973,,1
266.63,,1
266.6784,,1
266.679474,,1
266.680573,,1
266.706818,,1
266.747925,,1
266.8248,,1
266.8816,,1
266.8986,,1
266.916046,,1
266.96283,,1
267.0042,,1
267.028748,,1
267.0299,,1
267.036926,,1
267.087677,,1
267.10553,,1
267.112274,,1
267.129059,,1
267.158234,,1
267.166656,,1
267.2067,,1
267.212158,,1
267.255676,,1
267.2727,,1
267.3033,,1
267.317871,,1
267.357056,,1
267.37796,,1
267.422028,,1
267.4372,,1
267.47,,1
267.4939,,1
267.519836,,1
267.5266,,1
267.5274,,1
267.5475,,1
267.554077,,1
267.573364,,1
267.575348,,1
267.635437,,1
267.6472,,1
267.6733,,1
267.698456,,1
267.7227,,1
267.7512,,1
267.7589,,1
267.833527,,1
267.86084,,1
267.9082,,1
267.934662,,1
268.0456,,1
268.0752,,1
268.106079,,1
268.112946,,1
268.128632,,1
268.222961,,1
268.253052,,1
268.263123,,1
268.279663,,1
268.2811,,1
268.301025,,1
268.349579,,1
268.40683,,1
268.417725,,1
268.421356,,1
268.4265,,1
268.485779,,1
268.496277,,1
268.5002,,1
268.5088,,1
268.531616,,1
268.536469,,1
268.548859,,1
268.564026,,1
268.5985,,1
268.602325,,1
268.672577,,1
268.691559,,1
268.6935,,1
268.700043,,1
268.7236,,1
268.824921,,1
268.8479,,1
268.87735,,1
268.898743,,1
269.018158,,1
269.0585,,1
269.0657,,1
269.105316,,1
269.136627,,1
269.161133,,1
269.162476,,1
269.168457,,1
269.1843,,1
269.188049,,1
269.18985,,1
269.204468,,1
269.221954,,1
269.2251,,1
269.2461,,1
269.302979,,1
269.312622,,1
269.321777,,1
269.328461,,1
269.336182,,1
269.395721,,1
269.443,,1
269.455475,,1
269.464935,,1
