Ch1 Amplitude,Ch2 Amplitude,Cluster
216.78569,,1
219.860764,,1
226.834015,,1
230.271,,1
230.351486,,1
230.895782,,1
231.557861,,1
231.862442,,1
231.89267,,1
231.893524,,1
231.965988,,1
232.12941,,1
233.5729,,1
234.349442,,1
234.56601,,1
235.439255,,1
236.610519,,1
237.399582,,1
237.493942,,1
237.49411,,1
237.838,,1
238.144653,,1
238.6874,,1
238.9068,,1
238.942612,,1
239.114578,,1
239.407822,,1
239.7306,,1
240.422867,,1
240.664917,,1
240.959549,,1
241.244019,,1
241.522141,,1
241.854233,,1
241.882629,,1
242.461136,,1
242.465134,,1
242.52948,,1
242.611023,,1
242.6209,,1
242.6517,,1
242.674728,,1
242.853058,,1
243.161545,,1
243.2082,,1
243.4975,,1
243.750992,,1
243.789932,,1
243.793655,,1
243.881989,,1
243.895554,,1
243.989731,,1
244.175934,,1
244.207428,,1
244.274918,,1
244.31102,,1
244.49025,,1
244.540573,,1
244.668777,,1
244.787689,,1
244.790421,,1
244.820755,,1
244.8944,,1
245.073868,,1
245.186569,,1
245.547089,,1
245.611557,,1
246.156677,,1
246.163818,,1
246.285324,,1
246.3127,,1
246.334061,,1
246.334366,,1
246.437531,,1
246.531769,,1
246.545563,,1
246.813736,,1
246.932877,,1
247.1632,,1
247.326355,,1
247.328568,,1
247.361313,,1
247.41713,,1
247.448212,,1
247.517044,,1
247.5699,,1
247.726715,,1
247.73349,,1
247.769913,,1
247.781967,,1
247.8048,,1
248.034286,,1
248.042084,,1
248.0862,,1
248.122345,,1
248.181946,,1
248.324524,,1
248.44812,,1
248.500656,,1
248.543808,,1
248.612976,,1
248.733658,,1
248.73793,,1
248.780212,,1
248.8794,,1
248.910278,,1
248.92305,,1
249.162674,,1
249.181854,,1
249.264648,,1
249.346573,,1
249.513641,,1
249.532,,1
249.765274,,1
249.774811,,1
249.829926,,1
249.866348,,1
250.1979,,1
250.258179,,1
250.266312,,1
250.303162,,1
250.325409,,1
250.34938,,1
250.452026,,1
250.524323,,1
250.5815,,1
250.620636,,1
250.796341,,1
251.010666,,1
251.043747,,1
251.069656,,1
251.352859,,1
251.415359,,1
251.503021,,1
251.534,,1
251.547241,,1
251.559189,,1
251.735352,,1
251.909073,,1
251.935074,,1
251.9655,,1
252.0666,,1
252.069992,,1
252.156433,,1
252.1795,,1
252.251572,,1
252.4434,,1
252.575653,,1
252.594788,,1
252.60466,,1
252.7112,,1
252.785583,,1
253.1019,,1
253.186218,,1
253.186249,,1
253.276245,,1
253.364029,,1
253.49321,,1
253.49707,,1
253.5085,,1
253.589722,,1
253.632645,,1
253.655151,,1
253.710312,,1
253.72438,,1
253.8131,,1
253.8271,,1
253.8836,,1
253.9179,,1
253.967819,,1
253.984436,,1
253.99675,,1
254.043869,,1
254.165451,,1
254.174881,,1
254.292664,,1
254.326309,,1
254.336945,,1
254.509567,,1
254.681564,,1
254.715546,,1
254.736679,,1
254.81189,,1
254.824875,,1
254.901077,,1
254.917175,,1
254.917252,,1
254.960953,,1
254.9686,,1
255.009567,,1
255.031784,,1
255.08696,,1
255.142227,,1
255.240692,,1
255.250183,,1
255.316223,,1
255.3205,,1
255.322617,,1
255.39415,,1
255.400528,,1
255.468719,,1
255.481644,,1
255.49176,,1
255.503738,,1
255.565567,,1
255.610672,,1
255.711563,,1
255.73436,,1
255.740112,,1
255.779236,,1
255.79776,,1
255.815109,,1
255.880219,,1
255.888885,,1
255.92012,,1
255.9406,,1
255.990234,,1
256.066559,,1
256.0747,,1
256.1273,,1
256.137,,1
256.1479,,1
256.2139,,1
256.231659,,1
256.2548,,1
256.2668,,1
256.323639,,1
256.367035,,1
256.381165,,1
256.41803,,1
256.4435,,1
256.5057,,1
256.629272,,1
256.6356,,1
256.786652,,1
256.787964,,1
256.8737,,1
256.880859,,1
256.910522,,1
257.055634,,1
257.075348,,1
257.08316,,1
257.1467,,1
257.167755,,1
257.172516,,1
257.1759,,1
257.2558,,1
257.3052,,1
257.3698,,1
257.386353,,1
257.387421,,1
257.3908,,1
257.4074,,1
257.475159,,1
257.478973,,1
257.681458,,1
257.708679,,1
257.728577,,1
257.7362,,1
257.754059,,1
257.770874,,1
257.85257,,1
257.8738,,1
257.9012,,1
257.902283,,1
257.935242,,1
257.9528,,1
257.9736,,1
258.0121,,1
258.016663,,1
258.052979,,1
258.077423,,1
258.136871,,1
258.162964,,1
258.2048,,1
258.226959,,1
258.229767,,1
258.2504,,1
258.268646,,1
258.342621,,1
258.350525,,1
258.378235,,1
258.379517,,1
258.4087,,1
258.526123,,1
258.531677,,1
258.5881,,1
258.592743,,1
258.601349,,1
258.63327,,1
258.6716,,1
258.6789,,1
258.713074,,1
258.739716,,1
258.781738,,1
258.7837,,1
258.848358,,1
258.8813,,1
258.884033,,1
258.9096,,1
258.923,,1
258.960358,,1
259.01178,,1
259.030731,,1
259.036469,,1
259.0453,,1
259.046326,,1
259.0491,,1
259.062042,,1
259.0772,,1
259.0825,,1
259.0904,,1
259.091522,,1
259.142,,1
259.171234,,1
259.191162,,1
259.208038,,1
259.280975,,1
259.319183,,1
259.3641,,1
259.384247,,1
259.385834,,1
259.401978,,1
259.422028,,1
259.454742,,1
259.490662,,1
259.536224,,1
259.557678,,1
259.669,,1
259.6758,,1
259.690735,,1
259.7119,,1
259.753082,,1
259.760742,,1
259.7722,,1
259.853821,,1
259.86026,,1
259.908051,,1
259.921936,,1
259.936523,,1
259.954681,,1
259.976,,1
260.008,,1
260.20697,,1
260.245972,,1
260.2794,,1
260.309235,,1
260.323334,,1
260.429169,,1
260.4427,,1
260.453,,1
260.461975,,1
260.4924,,1
260.5144,,1
260.52063,,1
260.5364,,1
260.545624,,1
260.6124,,1
260.6277,,1
260.669739,,1
260.674255,,1
260.6926,,1
260.6981,,1
260.704651,,1
260.729919,,1
260.73233,,1
260.734253,,1
260.801575,,1
260.869446,,1
260.8748,,1
260.902374,,1
260.907776,,1
260.954529,,1
260.9644,,1
260.996368,,1
261.021118,,1
261.045746,,1
261.05896,,1
261.061249,,1
261.0805,,1
261.092346,,1
261.104584,,1
261.111572,,1
261.165039,,1
261.281281,,1
261.294769,,1
261.295135,,1
261.3039,,1
261.357361,,1
261.4042,,1
261.515259,,1
261.533569,,1
261.549652,,1
261.558441,,1
261.59256,,1
261.597382,,1
261.655853,,1
261.660645,,1
261.692078,,1
261.71228,,1
261.744354,,1
261.807068,,1
261.8127,,1
261.8295,,1
261.832458,,1
261.84256,,1
261.859528,,1
261.8727,,1
261.88913,,1
261.896729,,1
261.900665,,1
261.903778,,1
261.9126,,1
261.9183,,1
261.9515,,1
261.9531,,1
261.981,,1
261.997284,,1
262.020538,,1
262.023438,,1
262.029327,,1
