Ch1 Amplitude,Ch2 Amplitude,Cluster
226.834625,,1
227.415649,,1
228.413208,,1
228.816223,,1
229.6862,,1
230.3131,,1
230.970367,,1
231.8798,,1
232.165024,,1
233.401,,1
234.623718,,1
234.943039,,1
235.422318,,1
235.949738,,1
236.331741,,1
236.853867,,1
237.042145,,1
237.045456,,1
237.347,,1
238.77,,1
238.947769,,1
239.44574,,1
239.614624,,1
241.110809,,1
241.353043,,1
241.436508,,1
241.450577,,1
241.734726,,1
241.785263,,1
242.369019,,1
243.047028,,1
243.088867,,1
243.258667,,1
243.5147,,1
243.5179,,1
243.659,,1
243.913788,,1
243.921738,,1
244.005127,,1
244.031754,,1
244.059647,,1
244.387573,,1
244.633713,,1
244.712357,,1
245.025879,,1
245.218842,,1
245.3179,,1
245.385788,,1
245.514862,,1
245.687943,,1
245.757462,,1
245.844864,,1
245.956345,,1
246.032654,,1
246.132584,,1
246.3728,,1
246.5349,,1
246.663544,,1
246.7666,,1
246.786545,,1
246.808975,,1
246.933121,,1
246.961273,,1
247.015625,,1
247.104752,,1
247.192978,,1
247.602585,,1
247.606339,,1
247.653488,,1
247.740753,,1
247.844574,,1
247.857651,,1
247.939514,,1
248.121887,,1
248.1778,,1
248.1909,,1
248.307037,,1
248.352249,,1
248.540253,,1
248.577133,,1
248.631317,,1
248.6315,,1
248.633484,,1
248.7634,,1
248.849915,,1
248.916977,,1
248.980133,,1
249.278412,,1
249.418945,,1
249.458176,,1
249.467484,,1
249.49855,,1
249.635132,,1
249.719238,,1
249.747,,1
249.863571,,1
249.8936,,1
249.923386,,1
249.9676,,1
250.03331,,1
250.066635,,1
250.29892,,1
250.444656,,1
250.46344,,1
250.490875,,1
250.526566,,1
250.597931,,1
250.790833,,1
250.813385,,1
250.836472,,1
250.941238,,1
251.020279,,1
251.087143,,1
251.2617,,1
251.507462,,1
251.536224,,1
251.5895,,1
251.62088,,1
251.756836,,1
251.836761,,1
251.959991,,1
251.967072,,1
252.0469,,1
252.164948,,1
252.165909,,1
252.18779,,1
252.450623,,1
252.453873,,1
252.501923,,1
