Ch1 Amplitude,Ch2 Amplitude,Cluster
217.120117,,1
223.146317,,1
224.644562,,1
225.12825,,1
225.1429,,1
225.638855,,1
227.665985,,1
227.965347,,1
230.0562,,1
231.587479,,1
232.264557,,1
234.00174,,1
234.559357,,1
234.7003,,1
235.005249,,1
235.030792,,1
235.043335,,1
235.1859,,1
235.223328,,1
235.826553,,1
235.9501,,1
235.983551,,1
236.768051,,1
236.7707,,1
236.814575,,1
238.061218,,1
238.137283,,1
238.273468,,1
238.654831,,1
238.67485,,1
238.869568,,1
239.498291,,1
239.737915,,1
239.753586,,1
239.970139,,1
240.173187,,1
240.373322,,1
240.4066,,1
240.6957,,1
240.945389,,1
241.088272,,1
241.631958,,1
241.948547,,1
241.9551,,1
242.196121,,1
242.394455,,1
242.5027,,1
242.746246,,1
242.904739,,1
243.041977,,1
243.1696,,1
243.31633,,1
243.780487,,1
243.8174,,1
243.846786,,1
243.946762,,1
243.9864,,1
244.018021,,1
244.218,,1
244.346054,,1
244.65181,,1
244.725235,,1
244.746445,,1
244.76358,,1
244.772659,,1
244.882278,,1
245.350845,,1
245.383636,,1
245.4429,,1
245.584579,,1
245.805847,,1
245.9063,,1
246.080673,,1
246.0908,,1
246.137482,,1
246.23764,,1
246.355042,,1
246.3681,,1
246.40387,,1
246.412521,,1
246.453156,,1
246.470459,,1
246.8787,,1
246.923843,,1
247.0937,,1
247.113037,,1
247.3522,,1
247.473129,,1
247.511581,,1
247.5322,,1
247.681137,,1
247.759354,,1
247.780792,,1
247.9255,,1
247.947586,,1
248.020233,,1
248.053879,,1
248.1055,,1
248.178864,,1
248.28302,,1
248.473846,,1
248.61937,,1
248.730835,,1
248.751358,,1
248.848587,,1
248.848953,,1
248.866119,,1
248.965164,,1
249.071121,,1
249.074615,,1
249.180389,,1
249.250931,,1
249.30777,,1
249.36731,,1
249.525665,,1
249.547165,,1
249.609879,,1
249.622879,,1
249.666214,,1
249.927017,,1
249.931015,,1
250.06015,,1
250.086487,,1
250.190643,,1
250.435074,,1
250.527618,,1
250.611847,,1
250.631165,,1
250.695129,,1
250.797455,,1
250.83,,1
250.848221,,1
250.961075,,1
250.9619,,1
250.9639,,1
250.991638,,1
251.0057,,1
251.023254,,1
251.054123,,1
251.168167,,1
251.2291,,1
251.375916,,1
251.406128,,1
251.561188,,1
251.687073,,1
251.695374,,1
251.838211,,1
251.891663,,1
251.947556,,1
251.952255,,1
251.97049,,1
251.982819,,1
251.989334,,1
252.080109,,1
252.083755,,1
252.290359,,1
252.302948,,1
252.367584,,1
252.395554,,1
252.431488,,1
252.433762,,1
252.574265,,1
252.66452,,1
252.699692,,1
252.7233,,1
252.807419,,1
252.847076,,1
252.8661,,1
252.891464,,1
252.99231,,1
253.055939,,1
253.132462,,1
253.2799,,1
253.364349,,1
253.442123,,1
253.487823,,1
253.502762,,1
253.514709,,1
253.53656,,1
253.544647,,1
253.5685,,1
253.584869,,1
253.663834,,1
253.680023,,1
253.725784,,1
253.7802,,1
253.826492,,1
253.829575,,1
253.835083,,1
253.862564,,1
253.8823,,1
254.140182,,1
254.306046,,1
254.329422,,1
254.3478,,1
254.358353,,1
254.390427,,1
254.414841,,1
254.4227,,1
254.423553,,1
254.4269,,1
254.432388,,1
254.496231,,1
254.517273,,1
254.539429,,1
254.580246,,1
254.617355,,1
254.689163,,1
254.723175,,1
254.758179,,1
254.802765,,1
254.837692,,1
254.964523,,1
255.0099,,1
255.015442,,1
255.018356,,1
255.047913,,1
255.1231,,1
255.132339,,1
255.168747,,1
255.226608,,1
255.287491,,1
255.311081,,1
255.35408,,1
255.365036,,1
255.473755,,1
255.474548,,1
255.5305,,1
255.620941,,1
255.621658,,1
255.689026,,1
255.709641,,1
255.794662,,1
255.836258,,1
255.852875,,1
255.925735,,1
255.962036,,1
255.968719,,1
256.023254,,1
256.1253,,1
256.17337,,1
256.1798,,1
256.1935,,1
256.2002,,1
256.24707,,1
256.3576,,1
256.4226,,1
256.448,,1
256.470734,,1
256.492767,,1
256.591034,,1
256.617676,,1
256.62674,,1
256.663727,,1
256.679657,,1
256.833679,,1
256.8667,,1
256.893677,,1
256.895233,,1
256.907562,,1
257.068756,,1
257.101044,,1
257.166382,,1
257.172882,,1
257.19873,,1
257.2111,,1
257.268677,,1
257.392822,,1
257.490265,,1
257.490417,,1
257.559448,,1
257.5785,,1
257.584229,,1
257.616364,,1
257.632141,,1
257.650543,,1
257.693878,,1
257.73465,,1
257.780548,,1
257.7933,,1
257.833527,,1
257.8447,,1
257.880035,,1
257.893066,,1
257.926422,,1
257.92804,,1
257.997925,,1
258.01355,,1
258.0476,,1
258.084778,,1
258.094177,,1
258.140167,,1
258.181366,,1
258.182526,,1
258.201538,,1
258.223328,,1
258.2302,,1
258.240479,,1
258.261353,,1
258.264435,,1
258.271057,,1
258.357452,,1
258.3644,,1
258.399017,,1
258.424683,,1
258.441925,,1
258.546051,,1
258.5923,,1
258.6645,,1
258.6723,,1
258.6858,,1
258.692963,,1
258.7344,,1
258.769562,,1
258.7911,,1
258.803558,,1
258.8716,,1
258.9011,,1
258.915,,1
259.0574,,1
259.131226,,1
259.1717,,1
259.183136,,1
259.188934,,1
259.235565,,1
259.2576,,1
259.2627,,1
259.276367,,1
259.348572,,1
259.418457,,1
259.431427,,1
259.433044,,1
259.436157,,1
259.466583,,1
259.494141,,1
259.522827,,1
259.566772,,1
259.592957,,1
259.6169,,1
259.686066,,1
259.715729,,1
259.722046,,1
259.742,,1
259.80188,,1
259.8159,,1
259.855042,,1
259.895782,,1
259.92804,,1
259.957916,,1
259.9654,,1
260.018433,,1
260.0379,,1
260.098663,,1
260.122284,,1
260.134583,,1
260.14563,,1
260.153748,,1
260.1549,,1
260.15506,,1
260.206177,,1
260.258728,,1
260.266785,,1
260.294922,,1
260.367035,,1
260.432373,,1
260.454041,,1
260.5227,,1
260.5375,,1
260.5565,,1
260.606873,,1
260.6557,,1
260.68692,,1
260.7279,,1
260.774445,,1
260.7755,,1
260.7982,,1
260.7994,,1
260.863617,,1
260.865356,,1
260.868347,,1
260.9509,,1
260.963654,,1
261.018646,,1
261.0779,,1
261.104828,,1
261.1633,,1
261.183228,,1
261.210815,,1
261.213776,,1
261.219,,1
261.245972,,1
261.250763,,1
261.274628,,1
261.336243,,1
261.3407,,1
261.383484,,1
261.3966,,1
261.413452,,1
261.445465,,1
261.456726,,1
261.469879,,1
261.485443,,1
261.50705,,1
261.540131,,1
261.562042,,1
261.581635,,1
261.5833,,1
261.588928,,1
261.6171,,1
261.66098,,1
261.714172,,1
261.7487,,1
261.750458,,1
261.7998,,1
261.8279,,1
261.851257,,1
261.85202,,1
261.8529,,1
261.879944,,1
261.890228,,1
261.9088,,1
262.01358,,1
262.069824,,1
262.073639,,1
262.0799,,1
262.0958,,1
262.096832,,1
262.1305,,1
262.162079,,1
262.178436,,1
262.199219,,1
262.208771,,1
262.214417,,1
262.224884,,1
262.28476,,1
262.3024,,1
262.333832,,1
262.337341,,1
262.351532,,1
262.3787,,1
262.4529,,1
262.463776,,1
262.471954,,1
262.479523,,1
262.494659,,1
262.509338,,1
262.513977,,1
