Ch1 Amplitude,Ch2 Amplitude,Cluster
220.516815,,1
228.506409,,1
228.989929,,1
229.798,,1
230.516037,,1
231.59549,,1
232.2671,,1
233.4259,,1
233.4697,,1
233.5357,,1
233.820953,,1
233.906418,,1
234.509476,,1
234.590012,,1
235.003571,,1
235.4848,,1
235.555359,,1
235.862091,,1
236.2908,,1
237.288254,,1
237.521027,,1
237.694382,,1
239.305466,,1
240.026031,,1
240.28038,,1
240.611374,,1
240.929871,,1
241.19072,,1
241.24794,,1
241.415421,,1
241.69751,,1
241.753418,,1
242.357391,,1
242.558624,,1
242.72403,,1
242.741043,,1
242.79834,,1
242.896286,,1
243.14798,,1
243.222977,,1
243.641891,,1
243.853149,,1
243.879486,,1
243.904938,,1
244.0515,,1
244.148788,,1
244.400085,,1
244.922455,,1
245.0235,,1
245.3514,,1
245.4055,,1
245.461975,,1
245.486938,,1
245.555161,,1
245.628784,,1
245.796448,,1
245.827133,,1
245.87822,,1
246.024811,,1
246.2204,,1
246.392746,,1
246.4664,,1
246.917664,,1
246.963486,,1
247.038635,,1
247.040588,,1
247.168045,,1
247.225,,1
247.228149,,1
247.536728,,1
247.5595,,1
247.604492,,1
247.617813,,1
247.723083,,1
247.750626,,1
247.7935,,1
247.845444,,1
247.941513,,1
248.042526,,1
248.043777,,1
248.136841,,1
248.15654,,1
248.174911,,1
248.224289,,1
248.23082,,1
248.287323,,1
248.333267,,1
248.350937,,1
248.354,,1
248.4533,,1
248.66951,,1
249.1079,,1
249.229874,,1
249.293762,,1
249.29744,,1
249.418335,,1
249.512512,,1
249.520233,,1
249.634689,,1
249.64241,,1
249.678116,,1
249.715912,,1
249.82457,,1
249.825058,,1
249.888931,,1
249.9122,,1
249.933838,,1
250.091644,,1
250.095291,,1
250.098846,,1
250.487488,,1
250.524017,,1
250.5572,,1
250.5785,,1
250.7545,,1
250.76358,,1
250.778976,,1
250.824677,,1
250.8774,,1
250.879654,,1
250.8872,,1
250.981827,,1
251.1945,,1
251.237137,,1
251.242157,,1
251.39801,,1
251.450958,,1
251.631821,,1
251.639664,,1
251.6656,,1
251.771133,,1
251.7758,,1
251.860825,,1
252.096146,,1
252.26355,,1
252.425446,,1
252.430588,,1
252.480438,,1
252.50972,,1
252.623779,,1
252.632111,,1
252.6624,,1
252.6743,,1
252.689957,,1
252.831116,,1
252.841629,,1
252.859421,,1
252.899918,,1
252.915466,,1
253.020126,,1
253.046265,,1
253.051361,,1
253.195786,,1
253.256409,,1
253.506332,,1
253.5709,,1
253.693451,,1
253.773987,,1
253.931061,,1
254.008713,,1
254.130966,,1
254.154358,,1
254.176743,,1
254.187653,,1
254.239822,,1
254.242645,,1
254.262634,,1
254.289368,,1
254.312927,,1
254.415771,,1
254.420135,,1
254.441956,,1
254.502167,,1
254.523376,,1
254.529358,,1
254.605789,,1
254.6105,,1
254.61113,,1
254.623032,,1
254.630234,,1
254.6425,,1
254.706619,,1
254.7475,,1
254.778549,,1
254.923325,,1
255.0811,,1
255.126373,,1
255.187469,,1
255.191864,,1
255.19841,,1
255.218811,,1
255.2204,,1
255.244431,,1
255.266068,,1
255.268143,,1
255.330887,,1
255.353134,,1
255.416168,,1
255.503,,1
255.545532,,1
255.56,,1
255.563339,,1
255.61084,,1
255.6325,,1
255.691513,,1
255.699127,,1
255.758057,,1
255.76651,,1
255.791031,,1
255.794769,,1
255.9106,,1
255.911118,,1
255.916168,,1
255.927582,,1
256.021942,,1
256.0831,,1
256.1219,,1
256.12323,,1
256.127472,,1
256.1886,,1
256.232819,,1
256.286224,,1
256.373352,,1
256.411,,1
256.438263,,1
256.4498,,1
256.5001,,1
256.5797,,1
256.59726,,1
256.731964,,1
256.764038,,1
256.782959,,1
256.801575,,1
256.81723,,1
256.827972,,1
256.95517,,1
257.088043,,1
257.093567,,1
257.168823,,1
257.203949,,1
257.20694,,1
257.257935,,1
257.296417,,1
257.46698,,1
257.516754,,1
257.6025,,1
257.642456,,1
257.643738,,1
257.692657,,1
257.75177,,1
257.776947,,1
257.789856,,1
257.816071,,1
257.821625,,1
257.920624,,1
257.9309,,1
257.9943,,1
258.00528,,1
258.216217,,1
258.2755,,1
258.291321,,1
258.294464,,1
258.322052,,1
258.334564,,1
258.3624,,1
258.446075,,1
258.464935,,1
258.511932,,1
258.536469,,1
258.61438,,1
258.62912,,1
258.650238,,1
258.653381,,1
258.656616,,1
258.6804,,1
258.7093,,1
258.718567,,1
258.729858,,1
258.897247,,1
258.9072,,1
258.975739,,1
258.9938,,1
259.06955,,1
259.154053,,1
259.1612,,1
259.181335,,1
259.237762,,1
259.291626,,1
259.3628,,1
259.4072,,1
259.4116,,1
259.464661,,1
259.541473,,1
259.572571,,1
259.618317,,1
259.629883,,1
259.671356,,1
259.683716,,1
259.7154,,1
259.7361,,1
259.755463,,1
259.7787,,1
259.8449,,1
259.849274,,1
259.877045,,1
259.880157,,1
259.927,,1
259.928772,,1
259.9596,,1
259.97406,,1
260.001434,,1
260.0083,,1
260.025177,,1
260.029541,,1
260.051117,,1
260.057465,,1
260.069,,1
260.0717,,1
260.2147,,1
260.230042,,1
260.233948,,1
260.2485,,1
260.2782,,1
260.282,,1
260.2952,,1
260.382172,,1
260.391937,,1
260.422028,,1
260.427734,,1
260.45,,1
260.459564,,1
260.5745,,1
260.58316,,1
260.588257,,1
260.600952,,1
260.612518,,1
260.615417,,1
260.641541,,1
260.64566,,1
260.663483,,1
260.6644,,1
260.679138,,1
260.701538,,1
260.7105,,1
260.72702,,1
260.747223,,1
260.7682,,1
260.797852,,1
260.829681,,1
260.8611,,1
260.930573,,1
261.1025,,1
261.190857,,1
261.264069,,1
261.274445,,1
261.3101,,1
261.31665,,1
261.333984,,1
261.344452,,1
261.345581,,1
261.374664,,1
261.37915,,1
261.4113,,1
261.425232,,1
261.437042,,1
261.4542,,1
261.4744,,1
261.49646,,1
261.5032,,1
261.512543,,1
261.539978,,1
261.5565,,1
261.5891,,1
261.6203,,1
261.632721,,1
261.6503,,1
261.7353,,1
261.809,,1
261.833862,,1
261.834351,,1
261.8345,,1
261.838043,,1
261.892517,,1
261.8981,,1
261.901581,,1
261.922455,,1
261.929626,,1
261.9314,,1
261.963318,,1
261.9981,,1
262.026947,,1
262.042755,,1
262.0649,,1
262.08844,,1
262.146576,,1
262.160034,,1
262.168579,,1
262.212036,,1
262.2239,,1
262.231049,,1
262.2544,,1
262.254822,,1
262.257874,,1
