Ch1 Amplitude,Ch2 Amplitude,Cluster
1740.12219,,1
1799.79761,,1
1827.01538,,1
1848.02332,,1
1863.48608,,1
1887.84485,,1
1993.83289,,1
2004.842,,1
2006.963,,1
2012.95984,,1
2013.99377,,1
2031.94238,,1
2036.68677,,1
2045.872,,1
2054.71045,,1
2056.171,,1
2058.543,,1
2060.94,,1
2066.21118,,1
2068.54639,,1
2070.38452,,1
2070.392,,1
2078.32349,,1
2081.39844,,1
2083.331,,1
2092.07251,,1
2092.8208,,1
2094.38159,,1
2097.93921,,1
2102.369,,1
2104.65771,,1
2113.17432,,1
2113.89551,,1
2116.84155,,1
2125.33032,,1
2126.681,,1
2128.27832,,1
2132.023,,1
2138.08057,,1
2140.44165,,1
2142.09619,,1
2147.32739,,1
2148.11426,,1
2154.35034,,1
2167.38037,,1
2169.41187,,1
2169.47632,,1
2180.03516,,1
2186.9314,,1
2187.877,,1
2196.45166,,1
2204.91162,,1
2208.24927,,1
2214.4314,,1
2214.97876,,1
2217.57544,,1
2220.40649,,1
2221.07813,,1
2222.12915,,1
2223.988,,1
2227.87769,,1
2231.359,,1
2242.51538,,1
2244.95044,,1
2248.08643,,1
2248.42358,,1
2252.23267,,1
2258.0166,,1
2264.619,,1
2266.76416,,1
2269.04614,,1
2271.726,,1
2272.24878,,1
2273.30249,,1
2274.55566,,1
2275.884,,1
2280.8916,,1
2281.58374,,1
2287.65,,1
2293.03442,,1
2295.32031,,1
2297.80957,,1
2306.41821,,1
2310.40869,,1
2311.107,,1
2311.2063,,1
2312.236,,1
2314.02856,,1
2323.392,,1
2325.35864,,1
2325.66553,,1
2333.83057,,1
2335.65039,,1
2335.72534,,1
2336.91187,,1
2337.84253,,1
2338.23633,,1
2338.85645,,1
2347.77734,,1
2348.872,,1
2349.46,,1
2359.39722,,1
2360.453,,1
2360.855,,1
2360.855,,1
2363.049,,1
2363.08057,,1
2363.57886,,1
2364.23853,,1
2366.3894,,1
2368.94067,,1
2370.12524,,1
2371.547,,1
2374.134,,1
2374.138,,1
2374.47632,,1
2376.24951,,1
2377.017,,1
2377.25659,,1
2378.31177,,1
2382.54858,,1
2383.01416,,1
2384.67358,,1
2387.70117,,1
2388.7915,,1
2389.6687,,1
2389.76245,,1
2390.42358,,1
2392.08423,,1
2395.80054,,1
2398.52441,,1
2398.67944,,1
2400.347,,1
2402.21924,,1
2402.3623,,1
2404.30762,,1
2406.03,,1
2407.92188,,1
2409.70972,,1
2409.78857,,1
2410.67065,,1
2411.468,,1
2414.53345,,1
2416.039,,1
2416.111,,1
2416.40625,,1
2418.40869,,1
2419.93018,,1
2424.326,,1
2425.35449,,1
2425.90381,,1
2426.66455,,1
2428.29224,,1
2435.86084,,1
2436.26831,,1
2436.41162,,1
2436.97729,,1
2444.45386,,1
2444.64819,,1
2448.04541,,1
2450.279,,1
2450.35938,,1
2450.98755,,1
2451.68579,,1
2454.54028,,1
2455.61157,,1
2455.68213,,1
2456.43677,,1
2456.67358,,1
2458.077,,1
2459.45166,,1
2461.69775,,1
2462.24268,,1
2462.515,,1
2463.36523,,1
2466.05444,,1
2467.015,,1
2470.69751,,1
2472.64185,,1
2475.31616,,1
2475.7644,,1
2475.76978,,1
2477.35425,,1
2479.19531,,1
2479.46362,,1
2479.52979,,1
2481.76,,1
2481.77368,,1
2481.79858,,1
2484.748,,1
2485.90723,,1
2489.86938,,1
2493.15527,,1
2493.223,,1
2494.02734,,1
2494.7085,,1
2494.75928,,1
2499.40381,,1
2501.57,,1
2502.02344,,1
2502.304,,1
2503.5,,1
2504.13281,,1
2506.2002,,1
2507.245,,1
2507.64014,,1
2508.54541,,1
2509.294,,1
2509.67969,,1
2509.81348,,1
2510.17114,,1
2510.36279,,1
2512.36353,,1
2513.75977,,1
2514.23438,,1
2514.27856,,1
2514.6582,,1
2516.96436,,1
2519.24072,,1
2519.387,,1
2521.1123,,1
2522.355,,1
2522.397,,1
2524.151,,1
2525.52563,,1
2526.24341,,1
2527.43628,,1
2527.91943,,1
2530.825,,1
2531.95825,,1
2532.785,,1
2533.059,,1
2533.744,,1
2535.723,,1
2536.25928,,1
2536.32056,,1
2538.50244,,1
2538.642,,1
2538.77734,,1
2539.77856,,1
2540.05762,,1
2540.1272,,1
2540.634,,1
2540.67969,,1
2541.7688,,1
2541.81,,1
2541.84937,,1
2545.11328,,1
2545.91553,,1
2546.476,,1
2547.9502,,1
2548.95825,,1
2550.572,,1
2550.59741,,1
2551.8562,,1
2552.7417,,1
2556.491,,1
2558.04858,,1
2558.72119,,1
2561.41968,,1
2563.062,,1
2563.14868,,1
2563.18213,,1
2565.98633,,1
2566.625,,1
2567.63379,,1
2568.931,,1
2569.35083,,1
2571.731,,1
2571.93921,,1
2571.99219,,1
2572.0957,,1
2573.50562,,1
2573.8916,,1
2573.99,,1
2575.034,,1
2576.61572,,1
2576.87,,1
2577.058,,1
2577.42554,,1
2578.87524,,1
2579.34277,,1
2579.36426,,1
2579.7915,,1
2580.06,,1
2580.17017,,1
2581.27368,,1
2581.42,,1
2581.74585,,1
2581.96533,,1
2581.977,,1
2582.3064,,1
2582.76514,,1
2582.85742,,1
2583.25854,,1
2585.573,,1
2585.6228,,1
2588.25928,,1
2588.30957,,1
2589.16235,,1
2589.549,,1
2590.712,,1
2591.03467,,1
2591.069,,1
2591.335,,1
2592.27368,,1
2592.77271,,1
2593.748,,1
2593.76172,,1
2594.40649,,1
2596.46851,,1
2596.64771,,1
2597.12476,,1
2597.34058,,1
2597.72241,,1
2598.14624,,1
2598.45337,,1
2600.38257,,1
2600.52,,1
2601.91333,,1
2602.286,,1
2603.05273,,1
2603.567,,1
2603.98633,,1
2604.298,,1
2604.89819,,1
2606.19824,,1
2606.61475,,1
2606.67188,,1
2606.86377,,1
2607.0144,,1
2608.2,,1
2609.734,,1
2610.64282,,1
2611.23413,,1
2611.25,,1
2611.35767,,1
2611.36328,,1
2611.99731,,1
2613.96118,,1
2614.00952,,1
2614.161,,1
2614.398,,1
2616.54053,,1
2617.34375,,1
2618.13574,,1
2618.51123,,1
2618.64,,1
2618.761,,1
2619.769,,1
2619.8584,,1
2620.3147,,1
2620.74536,,1
2621.84644,,1
2622.4375,,1
2622.58716,,1
2622.81372,,1
2623.36084,,1
2623.68115,,1
2624.939,,1
2625.47021,,1
2625.70068,,1
2626.274,,1
2626.31445,,1
2626.39868,,1
2626.90259,,1
2626.916,,1
2627.45654,,1
2627.79858,,1
2627.847,,1
2628.03,,1
2628.08667,,1
2628.30151,,1
2628.45,,1
2629.02783,,1
2629.378,,1
2629.42871,,1
2629.77417,,1
2629.93066,,1
2630.379,,1
2631.13428,,1
2631.14771,,1
2631.222,,1
2632.4126,,1
2635.23242,,1
2635.35864,,1
2636.1333,,1
2636.342,,1
2636.53979,,1
2636.79614,,1
2637.00879,,1
2637.188,,1
2638.55127,,1
2638.711,,1
2638.96216,,1
2638.96558,,1
2640.543,,1
2640.91138,,1
2642.70874,,1
2643.31177,,1
2643.636,,1
2643.79932,,1
2644.01929,,1
2644.26563,,1
2644.34521,,1
2644.722,,1
2644.84888,,1
2644.95532,,1
2645.51343,,1
2645.643,,1
2646.68628,,1
2647.21851,,1
2647.22,,1
2647.70361,,1
2648.83838,,1
2650.25171,,1
2650.66919,,1
2650.87329,,1
2651.41919,,1
2652.50586,,1
2652.53979,,1
2653.18457,,1
2653.545,,1
2653.59741,,1
2653.829,,1
2654.895,,1
2654.92554,,1
2654.93481,,1
2655.19849,,1
2656.33643,,1
2656.739,,1
2657.22925,,1
2658.28979,,1
2658.54956,,1
2658.57471,,1
2658.61157,,1
2659.20532,,1
2659.46167,,1
2660.06665,,1
2660.543,,1
2661.64,,1
2662.78125,,1
2662.917,,1
2663.059,,1
2663.36719,,1
2664.15918,,1
2666.18652,,1
2666.18921,,1
2666.683,,1
2667.09937,,1
2667.2312,,1
2667.26074,,1
2668.39746,,1
2668.784,,1
2669.19043,,1
2669.44,,1
2669.458,,1
2669.521,,1
2669.97656,,1
2670.13745,,1
2670.77026,,1
2670.84033,,1
2670.94678,,1
2671.78223,,1
2672.74561,,1
2673.65186,,1
2673.75269,,1
2673.91455,,1
2674.4668,,1
2674.65454,,1
2675.75684,,1
2675.777,,1
2676.15234,,1
2676.34888,,1
2676.546,,1
2676.80127,,1
2677.22534,,1
2678.2793,,1
2678.45435,,1
2678.54346,,1
2678.61841,,1
2679.866,,1
2681.22339,,1
2682.13,,1
2682.204,,1
2682.35767,,1
2682.57349,,1
2682.66016,,1
2682.88916,,1
2683.15747,,1
2683.76685,,1
2684.05444,,1
2684.16,,1
2684.381,,1
2684.75146,,1
2684.89941,,1
2684.97949,,1
2685.583,,1
2685.58936,,1
2686.26953,,1
2686.27222,,1
2686.7124,,1
2686.93579,,1
2687.70239,,1
2687.708,,1
2687.818,,1
2688.892,,1
2689.60425,,1
2689.78979,,1
2690.47339,,1
2690.59839,,1
2690.61768,,1
2690.63843,,1
2690.73682,,1
2691.22241,,1
2691.33374,,1
2691.43164,,1
2691.492,,1
2692.532,,1
2693.39819,,1
2693.69287,,1
2694.20166,,1
2694.222,,1
2694.60425,,1
2694.82227,,1
2694.94482,,1
2695.26416,,1
2695.366,,1
2695.584,,1
2695.69263,,1
2695.89233,,1
2696.32422,,1
2696.38452,,1
2696.64355,,1
2696.73755,,1
2697.11353,,1
2697.64185,,1
2697.824,,1
2698.013,,1
2698.368,,1
2698.7124,,1
2698.88428,,1
2699.00879,,1
2699.2373,,1
2699.385,,1
2699.42163,,1
2699.61938,,1
2699.83447,,1
2700.05566,,1
2700.42114,,1
2700.8208,,1
2701.243,,1
2701.3125,,1
2701.51074,,1
2702.09717,,1
2702.32373,,1
2702.44482,,1
2703.27,,1
2703.32617,,1
2703.62256,,1
2703.67114,,1
2703.8645,,1
2704.05615,,1
2704.05957,,1
2704.14868,,1
2704.64917,,1
2704.73755,,1
2704.91919,,1
2704.92383,,1
2704.95776,,1
2705.22534,,1
2705.56421,,1
2705.92261,,1
2706.068,,1
2706.36084,,1
2707.37,,1
2708.66553,,1
2708.82349,,1
2709.19287,,1
2709.29883,,1
2709.386,,1
2710.0542,,1
2710.474,,1
2710.922,,1
2710.92676,,1
2711.01685,,1
2711.55029,,1
2712.2627,,1
2712.29858,,1
2712.45654,,1
2712.988,,1
2713.77344,,1
2714.22754,,1
2714.478,,1
2714.765,,1
2715.055,,1
2715.26831,,1
2715.3374,,1
2715.403,,1
2715.46436,,1
2715.57666,,1
2715.589,,1
2715.649,,1
2715.8125,,1
2715.993,,1
2716.26318,,1
2716.32153,,1
2716.32764,,1
2716.3584,,1
2716.86279,,1
2716.90454,,1
2717.344,,1
2717.43286,,1
2717.76929,,1
2718.153,,1
2718.24585,,1
2718.513,,1
2718.572,,1
2719.746,,1
2719.91,,1
2719.91431,,1
2720.889,,1
2721.30151,,1
2721.4353,,1
2722.01318,,1
2722.20264,,1
2722.237,,1
2722.28467,,1
2722.309,,1
2722.549,,1
2723.2373,,1
2723.47559,,1
2723.95752,,1
2724.13818,,1
2724.322,,1
2724.39941,,1
2724.46924,,1
2724.56079,,1
2724.59351,,1
2725.11816,,1
2725.2688,,1
2725.393,,1
2725.45459,,1
2725.726,,1
2725.78613,,1
2725.793,,1
2725.87354,,1
2726.02319,,1
2726.37671,,1
2727.41235,,1
2727.55249,,1
2727.64624,,1
2727.77124,,1
2727.86743,,1
2727.9104,,1
2728.12231,,1
2728.22583,,1
2728.31787,,1
2728.42383,,1
2728.55127,,1
2729.23413,,1
2729.37842,,1
2729.46826,,1
2729.70166,,1
2730.12378,,1
2730.27515,,1
2730.32,,1
2730.36572,,1
2730.87915,,1
2731.25073,,1
2732.26758,,1
2732.84863,,1
2733.67651,,1
2733.8645,,1
2733.93726,,1
2733.94971,,1
2735.11279,,1
2735.14478,,1
2735.299,,1
2735.35352,,1
2735.595,,1
2735.99829,,1
2736.1814,,1
2736.35522,,1
2736.61426,,1
2736.81445,,1
2737.37061,,1
2738.24756,,1
2738.66748,,1
2738.89453,,1
2738.91626,,1
2739.21582,,1
2739.24414,,1
2739.588,,1
2739.647,,1
2740.49731,,1
2740.51,,1
2740.71313,,1
2740.724,,1
2741.062,,1
2741.615,,1
2741.69067,,1
2741.766,,1
2741.966,,1
2742.05,,1
2742.10181,,1
2742.24072,,1
2742.253,,1
2742.265,,1
2742.26831,,1
2742.37256,,1
2742.45239,,1
2742.47583,,1
2742.649,,1
2742.748,,1
2742.77783,,1
2742.928,,1
2743.39429,,1
2743.82446,,1
2743.928,,1
2744.41748,,1
2744.688,,1
2745.037,,1
2745.077,,1
2745.136,,1
2745.203,,1
2745.32446,,1
2745.34131,,1
2745.70728,,1
2745.76929,,1
2745.79077,,1
2746.05371,,1
2746.076,,1
2746.187,,1
2746.26367,,1
2746.2666,,1
2746.30786,,1
2746.42529,,1
2746.491,,1
2746.5752,,1
2746.89868,,1
2746.981,,1
2747.00757,,1
2747.89575,,1
2748.09424,,1
2748.776,,1
2748.89282,,1
2749.19678,,1
2749.398,,1
2749.58081,,1
2749.6814,,1
2749.71631,,1
2749.84253,,1
2749.92188,,1
2750.47,,1
2750.84326,,1
2751.01563,,1
2751.20532,,1
2751.88037,,1
2752.27612,,1
2752.3833,,1
2752.63623,,1
2752.66064,,1
2752.74634,,1
2752.77637,,1
2752.97925,,1
2753.27417,,1
2753.69067,,1
2753.7063,,1
2753.7085,,1
2753.93433,,1
2754.24316,,1
2754.64,,1
2754.68115,,1
2755.02124,,1
2755.03833,,1
2755.134,,1
2755.645,,1
2755.7312,,1
2755.763,,1
2755.81519,,1
2755.83423,,1
2756.07739,,1
2756.085,,1
2756.152,,1
2756.63867,,1
2756.77441,,1
2756.82422,,1
2757.21753,,1
2757.91357,,1
2758.02832,,1
2758.573,,1
2759.08081,,1
2759.55176,,1
2759.94824,,1
2760.00269,,1
2760.01123,,1
2760.09644,,1
2760.233,,1
2760.45117,,1
2760.47754,,1
2760.52368,,1
2760.78833,,1
2760.95654,,1
2761.1604,,1
2761.42139,,1
2761.46973,,1
2761.50879,,1
2761.713,,1
2761.96,,1
2762.52686,,1
2762.69336,,1
2762.73218,,1
2762.8064,,1
2762.81934,,1
2762.91138,,1
2763.096,,1
2763.23438,,1
2763.55859,,1
2763.92529,,1
2763.984,,1
2764.009,,1
2764.174,,1
2764.762,,1
2764.80151,,1
2764.889,,1
2764.926,,1
2764.96875,,1
2765.07,,1
2765.08228,,1
2765.14941,,1
2765.431,,1
2765.51147,,1
2765.62964,,1
2765.76123,,1
2765.77,,1
2765.792,,1
2765.80933,,1
2766.105,,1
2766.37085,,1
2766.40723,,1
2766.67188,,1
2767.31177,,1
2767.38843,,1
2769.06836,,1
2769.06885,,1
2769.36938,,1
2769.40723,,1
2769.55566,,1
2769.69141,,1
2770.179,,1
2770.368,,1
2770.44482,,1
2770.45459,,1
2770.56519,,1
2770.67065,,1
2770.717,,1
2770.978,,1
2771.264,,1
2771.49316,,1
2771.54541,,1
2771.60376,,1
2771.63745,,1
2771.81763,,1
2771.905,,1
2772.02734,,1
2772.04834,,1
2772.10254,,1
2772.12085,,1
2772.15942,,1
2772.38867,,1
2772.57813,,1
2772.81885,,1
2772.92456,,1
2773.03442,,1
2773.19214,,1
2773.74268,,1
2774.47583,,1
2774.53833,,1
2774.69946,,1
2774.983,,1
2775.17358,,1
2775.22437,,1
2775.49243,,1
2775.53,,1
2775.57813,,1
2775.64136,,1
2775.64966,,1
2775.67944,,1
2776.80884,,1
2776.91,,1
2777.28418,,1
2777.968,,1
2778.398,,1
2778.47754,,1
2778.47827,,1
2778.52246,,1
2778.66016,,1
2778.92651,,1
2778.95776,,1
2779.17383,,1
2779.17432,,1
2779.47144,,1
2779.60522,,1
2779.76563,,1
2779.93579,,1
2780.03564,,1
2780.06,,1
2780.11768,,1
2780.13135,,1
2780.225,,1
2780.496,,1
2780.65576,,1
2780.712,,1
2780.74585,,1
2780.78662,,1
2780.85,,1
2780.97437,,1
2781.04419,,1
2781.134,,1
2781.15649,,1
2781.75732,,1
2781.79688,,1
2781.91064,,1
2781.94849,,1
2782.086,,1
2782.09766,,1
2782.22241,,1
2782.62744,,1
2782.72119,,1
2782.81421,,1
2782.837,,1
2782.88281,,1
2782.94531,,1
2782.96143,,1
2783.22656,,1
2783.832,,1
2783.91821,,1
2784.26563,,1
2784.48853,,1
2784.54932,,1
2784.64355,,1
2784.8667,,1
2785.04126,,1
2785.12671,,1
2785.19434,,1
2785.25757,,1
2785.485,,1
2785.67432,,1
2785.94629,,1
2786.48364,,1
2786.52856,,1
2786.641,,1
2787.075,,1
2787.20068,,1
2787.35352,,1
2787.35474,,1
2787.64575,,1
2787.65112,,1
2787.70264,,1
2787.76929,,1
2787.78369,,1
2787.877,,1
2788.004,,1
2788.28418,,1
2788.3562,,1
2788.4502,,1
2788.70728,,1
2789.214,,1
2789.288,,1
2789.299,,1
2789.40137,,1
2789.85083,,1
2789.98071,,1
2790.01929,,1
2790.12036,,1
2790.3,,1
2790.38843,,1
2790.426,,1
2790.53687,,1
2790.54639,,1
2790.603,,1
2790.613,,1
2790.665,,1
2790.82153,,1
2790.91626,,1
2791.0083,,1
2791.043,,1
2791.047,,1
2791.064,,1
2791.08374,,1
2791.198,,1
2791.22,,1
2791.41187,,1
2791.5144,,1
2791.55249,,1
2791.788,,1
2791.86719,,1
2792.07422,,1
2792.155,,1
2792.18945,,1
2792.40479,,1
2792.49341,,1
2792.56665,,1
2792.60669,,1
2792.61377,,1
2792.62866,,1
2792.87354,,1
2792.94,,1
2793.006,,1
2793.17188,,1
2793.24365,,1
2793.55273,,1
2793.954,,1
2794.14429,,1
2794.29321,,1
2794.30615,,1
2794.462,,1
2794.54224,,1
2794.73315,,1
2794.773,,1
2794.78418,,1
2794.80078,,1
2794.92139,,1
2794.997,,1
2795.0022,,1
2795.20142,,1
2795.25684,,1
2795.34814,,1
2795.35278,,1
2795.766,,1
2795.8335,,1
2795.865,,1
2795.98877,,1
2796.06274,,1
2796.18481,,1
2796.45044,,1
