Ch1 Amplitude,Ch2 Amplitude,Cluster
1529.74243,,1
1594.416,,1
2013.548,,1
2111.64478,,1
2154.635,,1
2161.888,,1
2178.355,,1
2192.25684,,1
2195.47949,,1
2214.25586,,1
2260.22729,,1
2264.223,,1
2271.01563,,1
2322.892,,1
2347.449,,1
2361.312,,1
2368.43848,,1
2370.32739,,1
2374.11987,,1
2381.591,,1
2382.42334,,1
2382.99414,,1
2383.27979,,1
2389.936,,1
2399.98438,,1
2404.555,,1
2406.50781,,1
2422.50122,,1
2422.64844,,1
2422.90649,,1
2424.84229,,1
2450.02173,,1
2458.26025,,1
2463.20239,,1
2463.56226,,1
2474.73633,,1
2477.259,,1
2479.83618,,1
2483.56372,,1
2484.16479,,1
2493.638,,1
2495.26147,,1
2497.26172,,1
2497.39771,,1
2500.33228,,1
2501.75952,,1
2502.21826,,1
2513.79175,,1
2519.49756,,1
2520.77,,1
2522.252,,1
2525.37646,,1
2530.02368,,1
2530.142,,1
2531.42,,1
2532.09,,1
2534.258,,1
2536.60522,,1
2538.54443,,1
2541.21143,,1
2542.068,,1
2545.31323,,1
2547.72778,,1
2548.6416,,1
2549.086,,1
2550.47778,,1
2550.679,,1
2550.99219,,1
2551.896,,1
2553.67529,,1
2557.54639,,1
2558.80713,,1
2563.32715,,1
2563.54736,,1
2564.51563,,1
2565.38623,,1
2565.557,,1
2565.759,,1
2568.06152,,1
2571.23364,,1
2571.3877,,1
2572.563,,1
2573.55542,,1
2574.339,,1
2574.7937,,1
2575.55835,,1
2577.25977,,1
2577.38477,,1
2577.66577,,1
2578.47949,,1
2579.07056,,1
2579.079,,1
2581.72168,,1
2581.82251,,1
2583.67017,,1
2584.699,,1
2584.90234,,1
2585.18848,,1
2586.20972,,1
2587.45679,,1
2590.12036,,1
2591.708,,1
2592.02075,,1
2592.981,,1
2593.96338,,1
2594.84131,,1
2596.17676,,1
2596.79858,,1
2596.908,,1
2596.93774,,1
2597.70557,,1
2598.526,,1
2600.6748,,1
2601.034,,1
2601.47363,,1
2602.298,,1
2603.86353,,1
2606.96973,,1
2607.56787,,1
2608.396,,1
2609.616,,1
2609.88184,,1
2610.64136,,1
2612.0415,,1
2612.34131,,1
2612.751,,1
2613.64478,,1
