Ch1 Amplitude,Ch2 Amplitude,Cluster
1650.32825,,1
1730.30286,,1
1768.22021,,1
1842.5968,,1
1883.94739,,1
1957.615,,1
1967.46289,,1
1973.02441,,1
2011.56091,,1
2018.466,,1
2025.70508,,1
2039.5531,,1
2052.06,,1
2058.86255,,1
2058.957,,1
2059.128,,1
2076.46143,,1
2078.8728,,1
2081.20825,,1
2084.92578,,1
2085.57837,,1
2095.14136,,1
2105.999,,1
2106.582,,1
2110.06152,,1
2111.63721,,1
2118.946,,1
2122.83325,,1
2123.54443,,1
2130.384,,1
2131.2937,,1
2131.974,,1
2133.67554,,1
2135.2644,,1
2135.729,,1
2135.96777,,1
2140.24,,1
2140.32275,,1
2144.45215,,1
2150.28345,,1
2161.39746,,1
2165.24585,,1
2166.25024,,1
2177.611,,1
2178.735,,1
2183.72852,,1
2184.484,,1
2186.19556,,1
2191.662,,1
2192.04932,,1
2192.6604,,1
2192.7085,,1
2198.986,,1
2199.82129,,1
2205.00122,,1
2205.54541,,1
2206.01147,,1
2207.93,,1
2211.531,,1
2216.18677,,1
2216.46729,,1
2221.71558,,1
2226.03662,,1
2226.277,,1
2235.77881,,1
2236.21973,,1
2236.86914,,1
2237.77441,,1
2239.538,,1
2242.94873,,1
2243.26563,,1
2243.36768,,1
2243.71313,,1
2246.46851,,1
2248.21167,,1
2248.5647,,1
2249.23315,,1
2249.747,,1
2250.59546,,1
2251.01782,,1
2251.84546,,1
2252.90137,,1
2253.59717,,1
2254.30273,,1
2254.896,,1
2254.98633,,1
2255.79419,,1
2257.32715,,1
2258.77124,,1
2259.58813,,1
2260.63,,1
2264.4895,,1
2264.84863,,1
2266.98926,,1
2269.60962,,1
2269.732,,1
2273.2002,,1
2273.241,,1
2273.528,,1
2275.09058,,1
2276.6792,,1
2277.059,,1
2277.36914,,1
2278.56958,,1
2279.20361,,1
2280.40576,,1
2280.777,,1
2281.1394,,1
2282.5752,,1
2285.81665,,1
2285.978,,1
2286.16333,,1
2287.22729,,1
2287.46436,,1
2288.271,,1
2289.14844,,1
2292.31348,,1
2292.62329,,1
2293.23364,,1
2297.03418,,1
2300.36279,,1
2300.54517,,1
2300.69141,,1
2300.80566,,1
2301.09277,,1
2301.244,,1
2301.86914,,1
2302.36133,,1
2302.77,,1
2303.267,,1
2305.598,,1
2305.76929,,1
2306.39868,,1
2308.96387,,1
2310.54,,1
2310.97119,,1
2311.213,,1
2312.07,,1
2312.30566,,1
2313.68359,,1
2313.702,,1
2313.80957,,1
2313.94922,,1
2314.42554,,1
2316.316,,1
2316.413,,1
2316.975,,1
2318.343,,1
2318.49414,,1
2319.253,,1
2320.915,,1
2321.24658,,1
2321.38843,,1
2321.72852,,1
2322.47656,,1
2322.67065,,1
2322.70679,,1
2323.47144,,1
2325.091,,1
2325.37476,,1
2325.41675,,1
2325.43237,,1
2325.47485,,1
2326.6936,,1
2326.81445,,1
2328.38867,,1
2328.63647,,1
2328.64941,,1
2329.771,,1
2332.66333,,1
2332.89478,,1
2332.93384,,1
2333.18774,,1
2333.634,,1
2334.541,,1
2335,,1
2335.70361,,1
2336.63916,,1
2336.73755,,1
2336.82983,,1
2337.82153,,1
2338.0415,,1
2338.60547,,1
2338.77832,,1
2338.881,,1
2339.30469,,1
2339.813,,1
2339.90845,,1
2340.155,,1
2340.38477,,1
2340.537,,1
2341.56421,,1
2342.07,,1
2342.66235,,1
2343.78735,,1
2344.03271,,1
2344.11475,,1
2345.91382,,1
2346.41748,,1
2347.15771,,1
2347.345,,1
2347.821,,1
2349.03149,,1
2349.42969,,1
2349.46851,,1
2350.00415,,1
2350.78467,,1
2350.82935,,1
2351.0498,,1
2352.80347,,1
2352.88037,,1
2352.90234,,1
2354.151,,1
2354.48657,,1
2355.37817,,1
2355.91333,,1
2357.62036,,1
2357.64453,,1
2358.049,,1
2358.23315,,1
2358.47021,,1
2359.24561,,1
2359.5647,,1
2359.966,,1
2360.84888,,1
2361.745,,1
2361.92554,,1
2363.16748,,1
2363.1897,,1
2363.42749,,1
2364.95215,,1
2365.2417,,1
2366.27417,,1
2366.33618,,1
2367.02246,,1
2367.03516,,1
2367.118,,1
2367.311,,1
2368.45313,,1
2368.96021,,1
2369.36035,,1
2369.77686,,1
2370.49316,,1
2370.908,,1
2371.01685,,1
2371.574,,1
2371.64917,,1
2371.65381,,1
2371.76733,,1
2372.12769,,1
2373.751,,1
2374.446,,1
2374.81152,,1
2374.81982,,1
2374.86841,,1
2375.10547,,1
2375.194,,1
2375.761,,1
2377.475,,1
2377.64575,,1
2377.85376,,1
2379.34351,,1
2379.84521,,1
2380.28125,,1
2380.37085,,1
2381.229,,1
2381.42773,,1
2381.45142,,1
2382.21753,,1
2382.4834,,1
2382.75659,,1
2383.22729,,1
2384.15161,,1
2384.2312,,1
2384.543,,1
2384.557,,1
2384.59131,,1
2384.64453,,1
2384.84839,,1
2385.07739,,1
2385.3623,,1
2385.598,,1
2385.64014,,1
2385.96582,,1
2385.98145,,1
2386.10718,,1
2386.44263,,1
2386.58984,,1
