Ch1 Amplitude,Ch2 Amplitude,Cluster
1727.11316,,1
1753.06665,,1
1879.22144,,1
1959.2323,,1
1963.05029,,1
1967.42932,,1
1979.85535,,1
1984.6803,,1
1988.46436,,1
2008.10291,,1
2013.13867,,1
2021.1228,,1
2033.60278,,1
2052.292,,1
2052.554,,1
2058.06982,,1
2058.54639,,1
2060.065,,1
2062.1228,,1
2068.37573,,1
2070.46826,,1
2086.753,,1
2101.47729,,1
2111.34985,,1
2114.91138,,1
2115.54688,,1
2119.844,,1
2129.27319,,1
2133.51855,,1
2136.78467,,1
2138.29175,,1
2139.546,,1
2141.9646,,1
2146.157,,1
2150.91479,,1
2162.352,,1
2164.46143,,1
2178.38867,,1
2182.18457,,1
2183.54419,,1
2188.57837,,1
2188.80762,,1
2192.61621,,1
2193.23877,,1
2194.23657,,1
2202.81421,,1
2205.18237,,1
2206.96851,,1
2210.81787,,1
2210.83423,,1
2210.969,,1
2211.386,,1
2228.07373,,1
2230.45117,,1
2231.50586,,1
2239.02539,,1
2239.70435,,1
2240.591,,1
2248.82935,,1
2249.151,,1
2249.56,,1
2250.94751,,1
2253.5188,,1
2260.66235,,1
2261.868,,1
2266.37158,,1
2266.496,,1
2266.83936,,1
2270.285,,1
2275.2417,,1
2275.90137,,1
2276.04639,,1
2276.94751,,1
2278.36914,,1
2280.36914,,1
2283.5918,,1
2284.50659,,1
2285.32422,,1
2293.43579,,1
2293.74976,,1
2294.049,,1
2295.18286,,1
2297.69629,,1
2299.17285,,1
2299.497,,1
2300.532,,1
2301.02783,,1
2304.49756,,1
2306.46313,,1
2306.77563,,1
2308.23364,,1
2308.52417,,1
2308.85034,,1
2310.42773,,1
2311.72876,,1
2312.2937,,1
2313.66431,,1
2314.24585,,1
2314.79785,,1
2317.22,,1
2317.91455,,1
2318.525,,1
2318.635,,1
2318.67554,,1
2320.20923,,1
2321.43384,,1
2322.02759,,1
2322.49585,,1
2323.23486,,1
2326.58252,,1
2326.609,,1
2328.28979,,1
2329.58423,,1
2330.536,,1
2331.421,,1
2331.86987,,1
2332.765,,1
2333.51147,,1
2334.381,,1
2336.39746,,1
2337.49414,,1
2337.71924,,1
2338.546,,1
2339.39917,,1
2339.88,,1
2341.6228,,1
2342.06982,,1
2342.768,,1
2343.376,,1
2345.19727,,1
2345.26563,,1
2345.59448,,1
2346.30762,,1
2347.756,,1
2348.17261,,1
2350.11523,,1
2350.57837,,1
2352.02124,,1
2352.19458,,1
2353.14038,,1
2353.27075,,1
2353.96582,,1
2354.07813,,1
2354.24243,,1
2358.645,,1
2358.9292,,1
2361.825,,1
2361.8855,,1
2362.271,,1
2362.52271,,1
2365.16284,,1
2366.26074,,1
2367.63574,,1
2367.87378,,1
2367.93457,,1
2369.92285,,1
2370.087,,1
2370.87744,,1
2371.32227,,1
2371.65869,,1
2371.74927,,1
2371.77075,,1
2371.77856,,1
2371.97925,,1
2373.325,,1
2373.43115,,1
2373.49341,,1
2373.604,,1
2374.1875,,1
2374.538,,1
2374.77783,,1
2375.4187,,1
2377.62842,,1
2378.42554,,1
2379.05151,,1
2379.45117,,1
2379.63,,1
2379.71924,,1
2380.682,,1
2381.656,,1
2382.8125,,1
2382.98779,,1
2383.09131,,1
2384.97217,,1
2385.30054,,1
2385.33081,,1
2386.43921,,1
2386.61157,,1
2386.62427,,1
2386.653,,1
2386.706,,1
2387.17456,,1
2387.32,,1
2387.538,,1
2387.73364,,1
2388.398,,1
2389.19385,,1
2389.56421,,1
2389.86279,,1
2390.54419,,1
2390.568,,1
2391.104,,1
2391.12915,,1
2392.76343,,1
2392.96118,,1
2394.012,,1
2394.89526,,1
2395.14136,,1
2395.46753,,1
2396.30786,,1
2396.74756,,1
2396.92822,,1
2397.43,,1
2397.82617,,1
2397.91553,,1
2398.0188,,1
2398.24121,,1
2398.77319,,1
2399.39038,,1
2399.47974,,1
2399.59155,,1
2399.66528,,1
2400.632,,1
2400.90747,,1
2400.92139,,1
2401.09766,,1
2401.60815,,1
2402.502,,1
2402.59375,,1
2402.94263,,1
2403.44946,,1
2403.57544,,1
2403.87524,,1
2404.09326,,1
2404.166,,1
2405.03784,,1
2405.69141,,1
2405.77148,,1
2405.89331,,1
2405.89355,,1
2406.15527,,1
2406.73267,,1
2407.32471,,1
2407.422,,1
2407.65918,,1
2408.42944,,1
2408.718,,1
2408.958,,1
2409.147,,1
2409.28223,,1
2410.04614,,1
2410.20874,,1
2410.7334,,1
2410.855,,1
2411.30469,,1
2411.31,,1
2411.44385,,1
2411.665,,1
2412.24854,,1
2412.27173,,1
2412.927,,1
2412.97729,,1
2413.64551,,1
2414.75586,,1
2416.1355,,1
2417.07666,,1
2417.26636,,1
2417.40381,,1
2418.649,,1
2418.76685,,1
2419.02368,,1
2420.119,,1
2420.21069,,1
2420.85229,,1
2420.925,,1
2421.20532,,1
2421.98267,,1
2422.514,,1
2422.77881,,1
2424.12817,,1
2424.27832,,1
2424.36743,,1
2424.40552,,1
2424.92065,,1
2425.37085,,1
2425.95142,,1
2426.174,,1
2426.3562,,1
2427.53735,,1
2428.637,,1
2429.68579,,1
2431.78125,,1
2431.80566,,1
2432.69824,,1
2433.12622,,1
2433.2373,,1
2433.88159,,1
2433.94946,,1
2434.257,,1
2434.856,,1
2435.72241,,1
2436.10742,,1
2436.56958,,1
2436.678,,1
2436.95239,,1
2437.39233,,1
2437.43262,,1
2438.337,,1
2438.6626,,1
2439.42847,,1
2440.55469,,1
2441.45581,,1
2441.744,,1
2443.32178,,1
2444.236,,1
2444.36938,,1
2444.93481,,1
2445.316,,1
2445.42236,,1
2445.98315,,1
2446.37939,,1
2446.89868,,1
2447.10913,,1
2447.93,,1
2448.23438,,1
2448.365,,1
2448.566,,1
2448.94165,,1
2449.454,,1
2449.64624,,1
2450.55713,,1
2450.88647,,1
2450.889,,1
2451.08984,,1
2451.36328,,1
2451.48315,,1
2451.51025,,1
2451.66553,,1
2451.91919,,1
2452.31714,,1
2453.20142,,1
2453.45264,,1
2453.612,,1
2454.50684,,1
2454.63013,,1
2454.7998,,1
2454.814,,1
2455.16431,,1
2455.21338,,1
2456.34,,1
2456.38745,,1
2456.63013,,1
2456.71021,,1
2457.42969,,1
2457.50879,,1
2458.091,,1
2458.356,,1
2458.365,,1
2458.46924,,1
2459.01025,,1
2459.20752,,1
2459.38013,,1
2459.45361,,1
2460.28027,,1
2460.44849,,1
2460.53369,,1
2461.375,,1
2461.84839,,1
2462.12354,,1
2462.24219,,1
2462.41455,,1
2462.67017,,1
2462.99341,,1
2463.34253,,1
2463.351,,1
2463.55078,,1
2463.64941,,1
2463.92432,,1
2464.5874,,1
2465.02612,,1
2465.7417,,1
2466.05762,,1
2466.10669,,1
2466.18213,,1
2466.27734,,1
2467.04834,,1
2467.111,,1
2467.13574,,1
2468.059,,1
2468.322,,1
2468.60352,,1
2468.8042,,1
2469.06372,,1
2469.37036,,1
2469.53735,,1
2469.94019,,1
2470.42651,,1
2470.752,,1
2471.61768,,1
2472.16772,,1
2472.242,,1
2472.5354,,1
2472.58643,,1
2472.79736,,1
2472.8042,,1
2473.04517,,1
2473.25415,,1
2473.33325,,1
2473.662,,1
2473.76782,,1
2473.77368,,1
2474.678,,1
2475.75635,,1
2475.83374,,1
2475.83521,,1
2476.33032,,1
2476.35229,,1
2476.38159,,1
2477.38477,,1
2477.43,,1
2477.91016,,1
2478.90771,,1
2479.31348,,1
2479.41235,,1
2480.77075,,1
2480.9502,,1
2481.04468,,1
2481.22217,,1
2481.47314,,1
2482.02979,,1
2482.15918,,1
2482.4668,,1
2482.5835,,1
2483.01514,,1
2483.03,,1
2483.06738,,1
2483.21655,,1
2483.76831,,1
2483.99634,,1
2484.24048,,1
2485.0918,,1
2485.25366,,1
2485.423,,1
2485.82471,,1
2485.97485,,1
2486.02979,,1
2487.041,,1
2487.296,,1
2487.30249,,1
2487.644,,1
2487.83521,,1
2487.95386,,1
2488.275,,1
2488.74561,,1
2489.22217,,1
2489.404,,1
2489.814,,1
2490.13477,,1
2490.348,,1
2490.61157,,1
2490.74268,,1
2490.945,,1
2491.35938,,1
2492.453,,1
2492.48022,,1
2492.72241,,1
2493.20337,,1
2493.96655,,1
2494.61255,,1
2494.84155,,1
2495.26343,,1
2495.716,,1
2496.14941,,1
2496.25781,,1
2496.436,,1
2496.67163,,1
2496.84253,,1
2497.09473,,1
2497.15039,,1
2497.23657,,1
