Ch1 Amplitude,Ch2 Amplitude,Cluster
1517.13318,,1
1667.38367,,1
1735.665,,1
2127.15259,,1
2262.225,,1
2272.79028,,1
2302.274,,1
2315.37817,,1
2323.77954,,1
2370.8208,,1
2407.80127,,1
2409.30542,,1
2419.03564,,1
2419.4082,,1
2421.44287,,1
2423.54565,,1
2431.95874,,1
2440.68945,,1
2447.58374,,1
2448.58081,,1
2461.85571,,1
2465.478,,1
2466.488,,1
2476.84155,,1
2480.41772,,1
2481.85083,,1
2483.07178,,1
2484.49927,,1
2488.07935,,1
2488.2146,,1
2488.682,,1
2492.604,,1
2495.60571,,1
2497.1814,,1
2498.758,,1
2499.37158,,1
2499.92822,,1
2500.89917,,1
2502.45654,,1
2505.909,,1
2506.09,,1
2506.6062,,1
2507.188,,1
2509.35986,,1
2510.57544,,1
2513.126,,1
2517.8042,,1
2520.31958,,1
2520.34277,,1
2520.95166,,1
2525.56421,,1
2526.56982,,1
2526.932,,1
2527.054,,1
2527.41528,,1
2527.77686,,1
2532.85083,,1
2533.287,,1
2533.50342,,1
2535.332,,1
2535.46558,,1
2536.74878,,1
2539.494,,1
2539.95581,,1
2541.90283,,1
2542.33081,,1
2542.62964,,1
2542.792,,1
2543.474,,1
2543.6084,,1
2547.7583,,1
2552.0144,,1
2553.34839,,1
2553.44434,,1
2554.55957,,1
2561.45044,,1
2561.78833,,1
2562.51685,,1
2564.48169,,1
2565.54688,,1
2566.641,,1
2566.9436,,1
2567.05615,,1
2567.1062,,1
2567.341,,1
2567.388,,1
2569.51929,,1
2569.62573,,1
2570.64844,,1
2572.605,,1
2573.15576,,1
2573.45874,,1
2575.00244,,1
2576.76514,,1
2577.34375,,1
2577.47144,,1
2578.04517,,1
2579.1106,,1
2582.93433,,1
2585.96558,,1
2586.948,,1
2587.484,,1
2587.57544,,1
2588.28345,,1
2588.96265,,1
2591.496,,1
2592.23462,,1
2592.239,,1
2592.77271,,1
2594.3877,,1
2595.48315,,1
2595.90454,,1
2596.22485,,1
2597.40869,,1
2597.80029,,1
2599.61572,,1
2602.708,,1
2602.904,,1
2603.04028,,1
2603.62183,,1
2603.6814,,1
2603.912,,1
2605.452,,1
2605.82129,,1
2605.97119,,1
2606.16748,,1
2607.43384,,1
2608.91284,,1
2610.20923,,1
2610.5127,,1
2610.74585,,1
2610.94971,,1
2611.76,,1
2611.932,,1
2612.05615,,1
2612.06079,,1
2613.646,,1
2614.70044,,1
2614.85669,,1
2616.051,,1
2616.64722,,1
2616.68628,,1
2616.96631,,1
2618.37158,,1
2620.14136,,1
2622.7793,,1
2622.841,,1
2624.17334,,1
2625.03857,,1
2625.74976,,1
2625.779,,1
2626.18115,,1
2626.2583,,1
2627.43213,,1
2628.248,,1
2628.41,,1
2628.69482,,1
2628.8562,,1
2628.9043,,1
2629.851,,1
2630.19653,,1
2630.283,,1
2630.60547,,1
2630.632,,1
2632.422,,1
2634.40161,,1
2635.53345,,1
2635.73486,,1
2636.97974,,1
2637.63184,,1
2637.63672,,1
2637.794,,1
2637.848,,1
2638.75537,,1
2639.1814,,1
2639.57715,,1
2639.7168,,1
2639.725,,1
2639.9624,,1
2640.20825,,1
2642.13721,,1
2642.215,,1
2642.53882,,1
2643.21973,,1
2643.447,,1
2643.837,,1
2645.35571,,1
2645.45386,,1
2645.528,,1
2645.89185,,1
2645.91846,,1
2646.052,,1
2646.28516,,1
2647.48413,,1
2648.2417,,1
2650.25781,,1
2651.22583,,1
2652.192,,1
2652.674,,1
2653.33252,,1
2653.37769,,1
2653.58154,,1
2653.63232,,1
2653.64258,,1
2653.87085,,1
2654.16577,,1
2654.26343,,1
2654.43652,,1
2655.86621,,1
2656.02832,,1
2656.626,,1
2656.63477,,1
2657.35645,,1
