Ch1 Amplitude,Ch2 Amplitude,Cluster
1269.55933,,1
1299.457,,1
1301.584,,1
1304.83374,,1
1417.515,,1
1426.198,,1
1446.01917,,1
1457.32471,,1
1473.61475,,1
1507.17053,,1
1520.46655,,1
1524.331,,1
1531.70959,,1
1556.55823,,1
1592.482,,1
1666.453,,1
1677.07837,,1
1695.58887,,1
1697.40845,,1
1718.668,,1
1722.49329,,1
1737.02478,,1
1743.21216,,1
1775.58655,,1
1777.37415,,1
1791.06445,,1
1800.72156,,1
1811.56372,,1
1814.35657,,1
1817.00488,,1
1817.73389,,1
1829.35583,,1
1836.57117,,1
1839.70667,,1
1845.19641,,1
1852.89307,,1
1859.71155,,1
1862.15039,,1
1865.31226,,1
1865.95007,,1
1866.54639,,1
1869.21045,,1
1869.74109,,1
1870.01953,,1
1872.85522,,1
1874.78186,,1
1875.39868,,1
1876.95911,,1
1883.43494,,1
1891.1875,,1
1891.93225,,1
1898.82263,,1
1900.70813,,1
1901.68958,,1
1903.51013,,1
1904.60376,,1
1911.8,,1
1914.45459,,1
1922.972,,1
1923.35181,,1
1923.7926,,1
1925.02881,,1
1925.6405,,1
1931.304,,1
1934.09363,,1
1934.74072,,1
1941.128,,1
1944.14038,,1
1947.13513,,1
1950.42969,,1
1959.61292,,1
1963.95227,,1
1965.073,,1
1965.59326,,1
1965.88025,,1
1971.04944,,1
1971.27307,,1
1972.58533,,1
1972.93018,,1
1979.09009,,1
1981.59778,,1
1985.00952,,1
1987.17761,,1
1988.39221,,1
1988.71851,,1
1992.03833,,1
1994.16663,,1
2003.22693,,1
2003.66577,,1
2006.436,,1
2007.21973,,1
2008.22168,,1
2008.43457,,1
2010.23792,,1
2010.8833,,1
2015.44348,,1
2018.92493,,1
2021.8396,,1
2023.29517,,1
2025.53162,,1
2027.13843,,1
2028.032,,1
2033.64307,,1
2033.79846,,1
2033.801,,1
2040.81677,,1
2040.85229,,1
2041.55591,,1
2045.25757,,1
2046.2384,,1
2046.9165,,1
2047.65186,,1
2048.28882,,1
2049.33813,,1
2052.33,,1
2060.1604,,1
2063.677,,1
2063.67822,,1
2064.50635,,1
2073.16748,,1
2074.32983,,1
2076.11377,,1
2077.29175,,1
2082.56567,,1
2088.73145,,1
2094.46948,,1
2096.465,,1
2097.37451,,1
2099.73877,,1
2100.11768,,1
2102.63745,,1
2104.556,,1
2104.56274,,1
2109.33374,,1
2110.48315,,1
2111.62549,,1
2112.14331,,1
2114.42041,,1
2116.1355,,1
2116.54761,,1
2117.795,,1
2119.45654,,1
