Ch1 Amplitude,Ch2 Amplitude,Cluster
1467.54016,,1
1482.20532,,1
1548.24219,,1
1654.25793,,1
1723.761,,1
1765.45288,,1
1790.802,,1
1804.92932,,1
1916.80457,,1
1934.2522,,1
1955.80371,,1
1956.14758,,1
1999.42664,,1
2070.769,,1
2177.76123,,1
2193.57,,1
2198.98779,,1
2270.969,,1
2277.63232,,1
2294.07349,,1
2297.701,,1
2302.25781,,1
2307.18872,,1
2308.092,,1
2316.95215,,1
2324.44482,,1
2332.83545,,1
2334.07373,,1
2335.13428,,1
2336.83179,,1
2341.79565,,1
2342.98755,,1
2354.79688,,1
2356.00977,,1
2358.83032,,1
2361.42432,,1
2361.863,,1
2362.20044,,1
2362.77979,,1
2362.96484,,1
2364.839,,1
2366.30957,,1
2371.124,,1
2371.20239,,1
2371.99731,,1
2374.70166,,1
2375.582,,1
2378.33667,,1
2380.51782,,1
2381.32,,1
2382.493,,1
2383.69141,,1
2384.98462,,1
2389.67065,,1
2390.1228,,1
2390.33813,,1
2390.53735,,1
2392.00513,,1
2392.56152,,1
2394.80347,,1
2395.911,,1
2397.094,,1
2397.73877,,1
2399.37866,,1
2401.06348,,1
2402.74854,,1
2402.82349,,1
2403.70874,,1
2405.10718,,1
2408.34155,,1
2409.16968,,1
2409.424,,1
2410.80884,,1
2411.57031,,1
2412.225,,1
2419.27759,,1
2419.41772,,1
2419.92334,,1
2422.48169,,1
2425.607,,1
2426.695,,1
2431.799,,1
2432.12256,,1
2432.28174,,1
2433.13062,,1
2433.33521,,1
2433.90283,,1
2437.976,,1
2439.05078,,1
2440.56982,,1
2440.6792,,1
2443.80249,,1
2444.42334,,1
2445.37573,,1
2446.48779,,1
2447.33813,,1
2447.607,,1
2448.16553,,1
2448.87427,,1
2449.84082,,1
2452.51025,,1
2454.62476,,1
2454.74243,,1
2455.309,,1
2458.30151,,1
2458.97974,,1
2459.4187,,1
2460.16431,,1
2460.22144,,1
2462.31323,,1
2462.55469,,1
2462.76465,,1
2463.27148,,1
2463.444,,1
2463.589,,1
2464.105,,1
2464.1333,,1
2465.03882,,1
2466.05347,,1
2468.28833,,1
2468.70923,,1
2468.92261,,1
2470.88184,,1
2471.09717,,1
2472.226,,1
2472.351,,1
2472.74121,,1
2475.792,,1
2476.566,,1
2477.49414,,1
2479.1665,,1
2482.751,,1
2483.77222,,1
2484.27515,,1
2486.91528,,1
2489.03271,,1
2489.209,,1
2489.38257,,1
2491.76685,,1
2494.10962,,1
2495.32446,,1
2495.38354,,1
2495.428,,1
2496.849,,1
2497.21216,,1
2500.35474,,1
2501.17871,,1
2501.45581,,1
2502.15186,,1
2503.039,,1
2503.50439,,1
2504.464,,1
2505.18945,,1
2507.93481,,1
2508.87573,,1
2510.05859,,1
2510.69824,,1
2510.86572,,1
2511.88379,,1
2512.80225,,1
2513.85767,,1
2513.867,,1
2515.1687,,1
2517.51831,,1
2520.93457,,1
2523.23169,,1
2525.181,,1
2526.42261,,1
2526.62622,,1
2527.688,,1
2529.771,,1
2530.02856,,1
2531.15356,,1
2531.76147,,1
2537.28979,,1
2540.3103,,1
2540.547,,1
2540.619,,1
2540.812,,1
2541.18677,,1
2541.51855,,1
2544.58936,,1
2545.72925,,1
2545.90161,,1
2546.20483,,1
2546.67188,,1
2549.56885,,1
2550.27539,,1
2550.494,,1
2553.84985,,1
2554.47241,,1
2554.63257,,1
2556.48218,,1
2557.21875,,1
2558.06787,,1
2560.34619,,1
2561.16162,,1
2561.43457,,1
2562.42261,,1
2562.46582,,1
2563.06885,,1
2563.52148,,1
2564.21143,,1
2565.27466,,1
2566.37524,,1
2566.64063,,1
2567.34253,,1
2567.51733,,1
2568.15625,,1
2568.52124,,1
2568.70215,,1
2569.00464,,1
2570.9812,,1
2572.309,,1
2572.65771,,1
2573.92554,,1
2574.05249,,1
2574.49048,,1
2575.70117,,1
2576.06372,,1
2576.58984,,1
2577.79077,,1
2577.87622,,1
2577.88477,,1
2578.17236,,1
2578.85156,,1
2580.21118,,1
2580.329,,1
2580.74683,,1
2580.889,,1
2582.30151,,1
2583.23071,,1
2583.90625,,1
2584.051,,1
2585.48145,,1
2585.91284,,1
2586.63452,,1
2586.95679,,1
2587.08154,,1
2587.18628,,1
2587.44946,,1
2587.5625,,1
2587.62451,,1
2588.27466,,1
2589.47388,,1
2589.55859,,1
2590.31372,,1
2590.423,,1
2590.6084,,1
2590.719,,1
2591.106,,1
2591.71729,,1
2592.22583,,1
2592.882,,1
2593.27,,1
2594.45264,,1
2594.726,,1
2595.36865,,1
2596.42139,,1
2596.74,,1
2596.839,,1
2597.46973,,1
2597.51074,,1
2597.81958,,1
2598.10522,,1
2598.49731,,1
2599.34814,,1
2599.70776,,1
2600.06714,,1
2600.08813,,1
2600.24658,,1
2600.74976,,1
2601.92822,,1
2602.27686,,1
2602.92651,,1
2604.03784,,1
2604.87769,,1
2607.12939,,1
2607.254,,1
2607.2644,,1
2608.40576,,1
2609.85815,,1
2610.243,,1
2610.5813,,1
2610.94165,,1
2610.967,,1
2611.22485,,1
2611.43848,,1
2611.71387,,1
2612.54321,,1
2613.105,,1
2613.30249,,1
2614.107,,1
2614.75171,,1
2614.97461,,1
2615.02026,,1
2615.31323,,1
2616.03638,,1
2616.178,,1
2616.248,,1
2616.35376,,1
2616.78882,,1
2617.33716,,1
2618.15942,,1
2620.446,,1
2620.5144,,1
2621.924,,1
2622.34619,,1
2623.018,,1
2623.33838,,1
2623.4707,,1
2623.66846,,1
2623.76123,,1
2623.81055,,1
2624.242,,1
2624.60962,,1
2625.3894,,1
2626.506,,1
2627.00464,,1
2627.30664,,1
2627.6228,,1
2629.15576,,1
2630.90869,,1
2631.11548,,1
2631.888,,1
2632.37964,,1
2633.84521,,1
2633.91455,,1
2634.00562,,1
2634.37769,,1
2634.87964,,1
2634.92871,,1
2635.143,,1
2635.277,,1
2635.491,,1
2635.688,,1
2635.72266,,1
2635.98315,,1
2636.33813,,1
2636.54614,,1
2636.65625,,1
2636.73584,,1
2636.97729,,1
2637.46362,,1
2637.53613,,1
2638.09863,,1
2638.16431,,1
2638.7876,,1
2639.133,,1
2639.304,,1
2639.60913,,1
2639.80054,,1
2640.47339,,1
2641.16626,,1
2641.511,,1
2641.51416,,1
2641.73584,,1
2642.991,,1
2643.19824,,1
2643.25146,,1
2644.63,,1
2644.91748,,1
2645.43286,,1
2646.196,,1
2646.82031,,1
2646.824,,1
2647.40063,,1
2647.53955,,1
2647.77051,,1
2647.89014,,1
2648.07935,,1
2648.652,,1
2649.81763,,1
2649.87,,1
2650.27173,,1
2650.34717,,1
2650.83179,,1
2651.12622,,1
2651.182,,1
2651.628,,1
2651.8335,,1
2652.29614,,1
2652.69067,,1
2652.83057,,1
2653.03442,,1
2653.10669,,1
2653.352,,1
2653.50317,,1
2653.69775,,1
2653.72021,,1
2653.81665,,1
2653.90771,,1
2653.932,,1
2654.17822,,1
2654.24487,,1
2654.51929,,1
2654.666,,1
2654.671,,1
2655.02271,,1
2655.45361,,1
2655.56738,,1
2655.95,,1
2656.72583,,1
2657.28223,,1
2657.66821,,1
2657.923,,1
2658.69214,,1
2658.78149,,1
2659.18237,,1
2659.19336,,1
2659.423,,1
2660.0415,,1
2660.3833,,1
2660.539,,1
2660.57837,,1
2661.02783,,1
2661.071,,1
2661.6792,,1
2661.95972,,1
2662.13257,,1
2662.17749,,1
2662.34033,,1
2662.70044,,1
2662.875,,1
2663.04175,,1
2663.65332,,1
2664.29565,,1
2664.356,,1
2664.544,,1
2664.69482,,1
2665.28223,,1
2665.50024,,1
2665.51025,,1
2665.55469,,1
2665.93115,,1
2666.551,,1
2666.64746,,1
2667.296,,1
2667.38232,,1
2667.55981,,1
2668.22974,,1
2668.9585,,1
2669.2522,,1
2669.272,,1
2669.49951,,1
2669.51758,,1
2670.55322,,1
2671.03442,,1
2671.37231,,1
2671.507,,1
2671.78174,,1
2672.019,,1
2672.36914,,1
2672.73486,,1
2672.88354,,1
2673.796,,1
2673.98267,,1
2674.6853,,1
2675.22852,,1
2675.29614,,1
2675.46118,,1
2675.47144,,1
2675.538,,1
2675.61938,,1
2675.88647,,1
2675.94678,,1
2676.018,,1
2676.22949,,1
2676.273,,1
2676.61914,,1
2676.73853,,1
2677.03613,,1
2677.4624,,1
2677.48022,,1
2677.56,,1
2677.57153,,1
2677.73169,,1
2678.26782,,1
2678.51367,,1
2678.90771,,1
2679.48047,,1
2679.622,,1
2679.63525,,1
2679.66528,,1
2679.73682,,1
2680.07422,,1
2680.11328,,1
2680.23975,,1
2680.25269,,1
2680.57,,1
2680.60864,,1
2681.11328,,1
2682.1936,,1
2682.41846,,1
2682.70728,,1
2682.8645,,1
2682.951,,1
2682.986,,1
2682.98779,,1
2683.30029,,1
2683.45117,,1
2683.58838,,1
2683.829,,1
2683.879,,1
2684.31152,,1
2685.579,,1
2685.64673,,1
2685.72729,,1
2685.90674,,1
2686.49854,,1
2686.673,,1
2686.80151,,1
2686.86841,,1
2687.82373,,1
2687.86816,,1
2689.755,,1
2689.89185,,1
2690.07056,,1
2690.33,,1
2690.446,,1
2690.54688,,1
2690.795,,1
2690.81274,,1
2690.88,,1
2690.907,,1
2690.962,,1
2691.04565,,1
2691.58472,,1
2691.6853,,1
2691.79517,,1
2691.85425,,1
2692.06738,,1
2692.79126,,1
2692.93213,,1
2693.13135,,1
2693.28735,,1
2693.33472,,1
2693.341,,1
2693.40625,,1
2693.49219,,1
2693.51343,,1
2693.94678,,1
