Ch1 Amplitude,Ch2 Amplitude,Cluster
1108.51489,,1
1193.4646,,1
1205.95361,,1
1287.82666,,1
1314.67444,,1
1492.28613,,1
1537.84558,,1
1547.98315,,1
1683.08813,,1
1691.2583,,1
1792.61169,,1
1821.124,,1
1896.28149,,1
1896.30444,,1
1954.68054,,1
1974.529,,1
1978.58289,,1
1988.545,,1
1988.97571,,1
1992.142,,1
1998.6156,,1
2009.93884,,1
2012.89221,,1
2015.82178,,1
2031.71826,,1
2033.98853,,1
2035.43176,,1
2035.99707,,1
2048.44385,,1
2055.488,,1
2059.35718,,1
2060.85278,,1
2067.47437,,1
2071.349,,1
2084.05615,,1
2094.24316,,1
2096.561,,1
2098.146,,1
2098.23364,,1
2103.52563,,1
2112.178,,1
2112.79028,,1
2120.77515,,1
2125.74561,,1
2133.09326,,1
2134.08057,,1
2135.84,,1
2136.83032,,1
2137.539,,1
2141.328,,1
2145.53979,,1
2146.2,,1
2146.85742,,1
2147.048,,1
2149.82861,,1
2152.49585,,1
2153.55273,,1
2157.8252,,1
2159.40723,,1
2162.7627,,1
2165.1543,,1
2165.262,,1
2166.745,,1
2166.97021,,1
2167.36,,1
2167.735,,1
2168.042,,1
2170.27148,,1
2174.416,,1
2179.24438,,1
2180.01514,,1
2183.26465,,1
2184.52661,,1
2187.56958,,1
2191.04785,,1
2192.40674,,1
2193.755,,1
2199.77075,,1
2207.055,,1
2209.43384,,1
2210.95825,,1
2213.31567,,1
2216.782,,1
2218.6687,,1
2219.54224,,1
2220.295,,1
2221.58813,,1
2225.10278,,1
2227.52148,,1
2228.61743,,1
2230.37524,,1
2230.47583,,1
2234.55713,,1
2238.7146,,1
2238.928,,1
2243.12134,,1
2245.45386,,1
2250.933,,1
2251.80566,,1
2253.78076,,1
2253.94824,,1
2254.97388,,1
2258.60938,,1
2258.63135,,1
2259.12524,,1
2261.81738,,1
2264.22266,,1
2265.004,,1
2266.691,,1
2267.416,,1
2269.619,,1
2269.826,,1
2270.30664,,1
2272.28564,,1
2273.728,,1
2274.20068,,1
2274.323,,1
2275.47974,,1
2276.88965,,1
2278.70337,,1
2279.31714,,1
2280.52417,,1
2280.8457,,1
2281.88916,,1
2282.0564,,1
2282.60913,,1
2284.019,,1
2285.34717,,1
2285.61548,,1
2286.01025,,1
2286.557,,1
2288.47217,,1
2291.30444,,1
2291.763,,1
2292.202,,1
2292.835,,1
2292.92188,,1
2293.03833,,1
2297.222,,1
2298.01563,,1
2298.5,,1
2298.54272,,1
2299.51172,,1
2300.1333,,1
2300.58179,,1
2301.32983,,1
2303.71313,,1
2304.41357,,1
2305.33228,,1
2307.06152,,1
2307.64136,,1
2307.84644,,1
2307.90869,,1
2308.67163,,1
2308.92,,1
2309.2002,,1
2309.51758,,1
2309.62036,,1
2310.058,,1
2310.50635,,1
2310.572,,1
2310.664,,1
2311.0918,,1
2313.06055,,1
2313.33252,,1
2314.08057,,1
2315.08643,,1
2315.13281,,1
2315.99683,,1
2316.68457,,1
2317.194,,1
2317.228,,1
2318.726,,1
2319.93433,,1
2320.17822,,1
2320.204,,1
2320.649,,1
2321.503,,1
2322.39917,,1
2323.41748,,1
2323.596,,1
2324.09326,,1
2324.11182,,1
2324.38745,,1
2325.60718,,1
2325.95068,,1
2326.427,,1
2326.79614,,1
2326.90674,,1
2326.95117,,1
2327.00513,,1
2327.11548,,1
